State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,41,7,85101,1,46.624184,-121.388064,WGS84,PM10 - LC,24 HOUR,,Observed Values,"IMPROVE Module D with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - GRAVIMETRIC",2016,Micrograms/cubic meter (LC),No Events,50,41,N,50,122,0,1,,,Certification not required,0,1.7633,1.820235,8.463,2016-04-18 00:00,6.54,2016-05-12 00:00,5.535,2016-05-03 00:00,5.234,2016-04-09 00:00,,,,,8.463,8.463,5.535,4.996,2.156,1.145,0.21,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88103,1,46.624184,-121.388064,WGS84,Arsenic PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.0,0.0,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,0.0,2016-01-16 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88104,1,46.624184,-121.388064,WGS84,Aluminum PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.015826,0.030684,0.163,2016-04-06 00:00,0.102,2016-04-18 00:00,0.079,2016-05-12 00:00,0.057,2016-04-09 00:00,,,,,0.163,0.163,0.079,0.046,0.018,0.003,-0.001,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88109,1,46.624184,-121.388064,WGS84,Bromine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.000391,0.000577,0.002,2016-04-09 00:00,0.002,2016-04-18 00:00,0.001,2016-02-24 00:00,0.001,2016-03-04 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.0,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88111,1,46.624184,-121.388064,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.009196,0.015774,0.087,2016-04-06 00:00,0.046,2016-04-18 00:00,0.039,2016-05-12 00:00,0.031,2016-04-09 00:00,,,,,0.087,0.087,0.039,0.029,0.01,0.003,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88112,1,46.624184,-121.388064,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.0,0.0,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,0.0,2016-01-16 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88114,1,46.624184,-121.388064,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,2.2e-05,0.000147,0.001,2016-04-09 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-10 00:00,,,,,0.001,0.001,0.0,0.0,0.0,0.0,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88115,1,46.624184,-121.388064,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.012174,0.027055,0.136,2016-03-10 00:00,0.091,2016-03-01 00:00,0.064,2016-03-04 00:00,0.059,2016-03-07 00:00,,,,,0.136,0.136,0.064,0.049,0.006,0.002,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88126,1,46.624184,-121.388064,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.010348,0.01808,0.088,2016-04-06 00:00,0.064,2016-04-18 00:00,0.051,2016-05-12 00:00,0.038,2016-04-09 00:00,,,,,0.088,0.088,0.051,0.036,0.011,0.002,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
53,41,7,88128,1,46.624184,-121.388064,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,46,38,N,46,122,0,5,,,Certification not required,0,0.000261,0.000575,0.002,2016-04-09 00:00,0.001,2016-03-04 00:00,0.001,2016-03-10 00:00,0.001,2016-04-03 00:00,,,,,0.002,0.002,0.001,0.001,0.001,0.0,0.0,,48935 US HWY 12,Washington,Lewis,Not in a city,"Centralia, WA",2017-04-25,[  46.624184 -121.388064],{'Evergreen forest land': 1.0}
