State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,57,11,42401,2,48.52059,-122.61428,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8164,93,Y,346,366,0,620,0.0,,Certified,0,0.910694,0.779503,5.5,2016-10-11 23:00,4.8,2016-04-26 14:00,4.6,2016-08-10 07:00,4.0,2016-04-27 16:00,,,,,4.0,3.4,2.5,1.8,1.1,0.7,0.3,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2017-02-27,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,42401,2,48.52059,-122.61428,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8164,93,Y,346,366,0,620,,,Certified,0,0.483146,0.471571,5.5,2016-10-11 23:00,4.8,2016-04-26 14:00,4.6,2016-08-10 07:00,4.0,2016-04-27 16:00,,,,,2.2,1.9,1.3,1.0,0.7,0.3,0.0,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2017-02-27,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,42401,2,48.52059,-122.61428,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2016,Parts per billion,No Events,346,95,Y,346,366,0,0,0.0,,Certified,0,0.490462,0.418758,2.4,2016-08-12 00:00,2.3,2016-08-20 00:00,2.1,2016-08-13 00:00,2.0,2016-08-17 00:00,,,,,2.0,1.7,1.3,1.0,0.7,0.3,0.1,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2017-02-27,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,42401,2,48.52059,-122.61428,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2016,Parts per billion,No Events,2659,91,Y,343,366,0,0,,0.0,Certified,0,0.457879,0.453397,3.0,2016-08-17 11:00,2.9,2016-04-26 14:00,2.9,2016-05-03 11:00,2.8,2016-08-12 14:00,,,,,2.2,1.9,1.3,1.0,0.7,0.3,0.0,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2017-02-27,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,42406,2,48.52059,-122.61428,WGS84,SO2 max 5-min avg,1 HOUR,,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2016,Parts per billion,No Events,8154,93,Y,346,366,0,630,,,Certification not required,0,0.605408,0.673931,13.2,2016-04-26 14:00,10.7,2016-04-27 16:00,10.2,2016-10-11 23:00,9.9,2016-08-10 07:00,,,,,3.1,2.4,1.6,1.2,0.8,0.4,0.1,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2017-02-27,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,44201,1,48.52059,-122.61428,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2016,Parts per million,No Events,3583,99,Y,152,153,0,89,0.0,0.0,Certified,0,0.042033,0.010305,0.071,2016-08-26 16:00,0.068,2016-05-06 12:00,0.066,2016-05-28 09:00,0.064,2016-05-12 16:00,,,,,0.068,0.064,0.063,0.057,0.049,0.04,0.03,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2016-12-13,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,44201,1,48.52059,-122.61428,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3647,99,Y,151,153,0,0,0.0,0.0,Certified,0,0.035159,0.008356,0.057,2016-06-04 07:00,0.056,2016-05-06 11:00,0.056,2016-05-26 18:00,0.054,2016-06-16 11:00,,,,,0.056,0.054,0.048,0.047,0.04,0.035,0.025,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2016-12-13,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,44201,1,48.52059,-122.61428,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,No Events,3647,99,Y,151,153,0,0,0.0,0.0,Certified,0,0.035159,0.008356,0.057,2016-06-04 07:00,0.056,2016-05-06 11:00,0.056,2016-05-26 18:00,0.054,2016-06-16 11:00,,,,,0.056,0.054,0.048,0.047,0.04,0.035,0.025,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2016-12-13,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,44201,1,48.52059,-122.61428,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,No Events,2584,98,Y,150,153,0,0,0.0,0.0,Certified,0,0.035147,0.008416,0.057,2016-06-04 07:00,0.056,2016-05-06 11:00,0.056,2016-05-26 18:00,0.054,2016-06-16 11:00,,,,,0.056,0.056,0.048,0.047,0.04,0.035,0.025,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2016-12-13,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
53,57,11,88101,3,48.52059,-122.61428,WGS84,PM2.5 - Local Conditions,1 HOUR,,Observed Values,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC - FDMS Gravimetric,2016,Micrograms/cubic meter (LC),No Events,4104,47,N,176,366,0,216,,,Certified,0,4.739376,3.790998,65.1,2016-05-11 17:00,62.6,2016-05-11 18:00,45.6,2016-05-11 16:00,39.0,2016-05-11 13:00,,,,,18.2,14.4,10.6,8.5,5.9,4.0,1.5,Anacortes-202 Ave,202 O Ave,Washington,Skagit,Anacortes,"Mount Vernon-Anacortes, WA",2016-10-12,[  48.52059 -122.61428],"{'Commercial and Services': 0.4, 'Residential': 0.4, 'Bays and estuaries': 0.2}"
