State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
53,65,5,11203,1,48.544448,-117.903425,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,7352,84,Y,306,366,0,1432,,,Certification not required,0,0.32806,0.348239,3.0,2016-08-03 00:00,2.9,2016-01-06 23:00,2.7,2016-01-06 18:00,2.7,2016-01-06 19:00,,,,,1.6,1.4,1.1,0.8,0.4,0.2,0.1,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,61101,1,48.544448,-117.903425,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Knots,No Events,2681,49,N,110,226,0,2743,,,Certification not required,0,2.817792,1.807245,12.3,2016-10-09 06:00,11.6,2016-09-08 15:00,10.5,2016-09-11 15:00,10.4,2016-09-11 14:00,,,,,8.9,8.2,6.8,5.4,3.6,2.3,1.2,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,61102,1,48.544448,-117.903425,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,Instrumental - RM Young Sonic Anemometer 85004,2016,Degrees Compass,No Events,2681,49,N,110,226,0,2743,,,Certification not required,0,219.019023,101.69547,360.0,2016-09-23 15:00,360.0,2016-10-20 10:00,360.0,2016-11-05 07:00,360.0,2016-11-13 09:00,,,,,357.0,352.0,346.0,335.0,301.0,257.0,64.0,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,61103,1,48.544448,-117.903425,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Knots,No Events,2681,49,N,110,226,0,2743,,,Certification not required,0,2.214733,1.916701,11.8,2016-10-09 06:00,11.0,2016-09-08 15:00,10.2,2016-12-06 12:00,10.2,2016-12-16 13:00,,,,,8.7,7.7,6.3,4.9,3.0,1.6,0.4,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,61104,1,48.544448,-117.903425,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,RM Young Ultrasonic Wind Sensor model 85004 - Vector Average Data Logger,2016,Degrees Compass,No Events,2681,49,N,110,226,0,2743,,,Certification not required,0,214.759791,104.933055,360.0,2016-11-19 23:00,359.0,2016-10-20 01:00,359.0,2016-11-05 07:00,359.0,2016-11-12 11:00,,,,,357.0,354.0,347.0,337.0,302.0,249.0,47.0,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,62101,1,48.544448,-117.903425,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,2016,Degrees Fahrenheit,No Events,5406,100,Y,225,226,0,18,,,Certification not required,0,52.620422,18.192755,96.0,2016-06-06 15:00,96.0,2016-06-06 16:00,96.0,2016-07-29 16:00,95.0,2016-06-06 14:00,,,,,92.0,89.0,82.0,76.0,65.0,53.0,27.0,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,81102,3,48.544448,-117.903425,WGS84,PM10 Total 0-10um STP,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2016,Micrograms/cubic meter (25 C),No Events,8757,100,Y,366,366,0,27,,,Certified,0,17.90008,20.772373,525.0,2016-02-08 17:00,434.0,2016-02-08 08:00,385.0,2016-03-11 09:00,379.0,2016-02-08 18:00,,,,,90.0,70.0,48.0,35.0,22.0,13.0,4.0,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,81102,3,48.544448,-117.903425,WGS84,PM10 Total 0-10um STP,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2016,Micrograms/cubic meter (25 C),No Events,366,100,Y,366,366,0,0,1.0,1.0,Certified,0,17.420765,13.821881,174.0,2016-02-08 00:00,93.0,2016-02-09 00:00,75.0,2016-02-02 00:00,62.0,2016-02-07 00:00,,,,,62.0,52.0,39.0,30.0,21.0,15.0,7.0,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,88502,4,48.544448,-117.903425,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,7352,84,Y,306,366,0,1432,,,Certification not required,0,8.697524,7.336125,55.5,2016-01-06 23:00,51.9,2016-01-06 18:00,51.8,2016-01-06 19:00,50.8,2016-01-06 21:00,,,,,33.7,29.6,24.3,19.4,11.2,6.1,2.5,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
53,65,5,88502,4,48.544448,-117.903425,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,306,84,N,306,366,0,0,,,Certification not required,0,8.658824,5.998317,37.5,2016-01-06 00:00,30.5,2016-01-07 00:00,28.6,2016-01-09 00:00,28.1,2016-01-08 00:00,,,,,28.1,24.9,20.4,17.1,11.7,6.7,2.9,Colville-E 1St,261 E 1st St,Washington,Stevens,Colville,"Spokane-Spokane Valley, WA",2017-02-27,[  48.544448 -117.903425],"{'Commercial and Services': 0.42, 'Residential': 0.56, 'Other urban or built-up land': 0.02}"
