,Parameter Name,Site_keys,LU,ppm
0,Sulfur dioxide,[ 29.672467 -82.333438],{'Residential': 1.0},0.002148294
1,Sulfur dioxide,[ 30.289921 -85.694373],"{'Forested wetland': 0.05660377358490566, 'Evergreen forest land': 0.9433962264150944}",0.014033427
2,Sulfur dioxide,[ 30.27131 -85.68354],"{'Industrial': 0.01, 'Evergreen forest land': 0.99}",0.00236353
3,Sulfur dioxide,[ 30.254367 -85.703819],"{'Forested wetland': 0.09, 'Bays and estuaries': 0.19, 'Evergreen forest land': 0.72}",0.004239914
4,Sulfur dioxide,[ 30.272143 -85.683262],{'Evergreen forest land': 1.0},0.0051321050000000005
5,Sulfur dioxide,[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}",0.005185029
6,Sulfur dioxide,[ 28.948866 -82.623714],"{'Cropland and pasture': 0.08, 'Evergreen forest land': 0.92}",0.007127942999999999
7,Sulfur dioxide,[ 28.980556 -82.644381],"{'Cropland and pasture': 0.71, 'Evergreen forest land': 0.16, 'Transitional areas': 0.13}",0.0075897149999999995
8,Sulfur dioxide,[ 30.356339 -81.635396],"{'Residential': 0.93, 'Industrial': 0.04, 'Transportation, communications and services': 0.03}",0.0038418620000000006
9,Sulfur dioxide,[ 30.327739 -81.655651],"{'Commercial and Services': 0.91, 'Mixed urban or built-up land': 0.02, 'Streams and canals': 0.07}",0.007636791
10,Sulfur dioxide,[ 30.375795 -81.585648],"{'Residential': 0.78, 'Streams and canals': 0.21, 'Evergreen forest land': 0.01}",0.001632252
11,Sulfur dioxide,[ 30.309119 -81.652341],"{'Commercial and Services': 0.4, 'Residential': 0.56, 'Transportation, communications and services': 0.04}",0.005681645
12,Sulfur dioxide,[ 30.422448 -81.620951],"{'Transitional areas': 0.3533834586466165, 'Evergreen forest land': 0.5488721804511278, 'Transportation, communications and services': 0.09774436090225563}",0.001009688
13,Sulfur dioxide,[ 30.457461 -81.534258],"{'Residential': 0.26, 'Cropland and pasture': 0.35, 'Nonforested wetland': 0.05, 'Evergreen forest land': 0.34}",0.0031686410000000003
14,Sulfur dioxide,[ 30.611072 -81.266751],{'Null area -- no land use assigned': 1.0},0.00096875
15,Sulfur dioxide,[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}",0.002751986
16,Sulfur dioxide,[ 30.575472 -87.244972],"{'Reservoirs': 0.0196078431372549, 'Evergreen forest land': 0.9803921568627451}",0.002885655
17,Sulfur dioxide,[ 30.59825  -87.181081],"{'Strip mines, quarries and gravel pits': 0.06, 'Evergreen forest land': 0.94}",0.000948901
18,Sulfur dioxide,[ 30.497696 -87.205804],{'Residential': 1.0},0.003349974
19,Sulfur dioxide,[ 30.526306 -87.21886 ],"{'Residential': 0.28, 'Evergreen forest land': 0.72}",0.0021042860000000004
20,Sulfur dioxide,[ 30.546306 -87.236916],"{'Commercial and Services': 0.0364963503649635, 'Mixed urban or built-up land': 0.23357664233576642, 'Evergreen forest land': 0.7299270072992701}",0.003131427
21,Sulfur dioxide,[ 30.46603  -87.258028],"{'Commercial and Services': 0.08181818181818182, 'Residential': 0.7272727272727273, 'Transportation, communications and services': 0.07272727272727272, 'Transitional areas': 0.045454545454545456, 'Strip mines, quarries and gravel pits': 0.07272727272727272}",0.00325006
22,Sulfur dioxide,[ 30.669914 -84.859364],"{'Forested wetland': 0.1619047619047619, 'Cropland and pasture': 0.047619047619047616, 'Evergreen forest land': 0.7904761904761904}",0.006147232
23,Sulfur dioxide,[ 30.650193 -84.871587],{'Evergreen forest land': 1.0},0.009752991
24,Sulfur dioxide,[ 27.947521 -82.45315 ],{'Commercial and Services': 1.0},0.008972584
25,Sulfur dioxide,[ 27.920578 -82.446206],"{'Residential': 0.1437908496732026, 'Bays and estuaries': 0.5490196078431373, 'Transportation, communications and services': 0.20261437908496732, 'Industrial': 0.10457516339869281}",0.007489826
26,Sulfur dioxide,[ 27.88669  -82.481206],"{'Commercial and Services': 0.05, 'Residential': 0.53, 'Bays and estuaries': 0.42}",0.0045206
27,Sulfur dioxide,[ 27.762806 -82.400927],"{'Residential': 0.37, 'Industrial': 0.1, 'Cropland and pasture': 0.52, 'Evergreen forest land': 0.01}",0.002668824
28,Sulfur dioxide,[ 27.948632 -82.452873],{'Commercial and Services': 1.0},0.004441962999999999
29,Sulfur dioxide,[ 27.928356 -82.454539],"{'Commercial and Services': 0.08854166666666667, 'Residential': 0.390625, 'Bays and estuaries': 0.5208333333333334}",0.003828099
30,Sulfur dioxide,[ 30.727134 -85.783265],"{'Forested wetland': 0.0990990990990991, 'Mixed forest land': 0.9009009009009009}",0.011174034
31,Sulfur dioxide,[ 30.668249 -84.910199],"{'Cropland and pasture': 0.18, 'Mixed forest land': 0.82}",0.004966229
32,Sulfur dioxide,[ 30.690192 -84.832976],"{'Residential': 0.36363636363636365, 'Industrial': 0.00909090909090909, 'Evergreen forest land': 0.42727272727272725, 'Mixed forest land': 0.2}",0.003978419
