,Parameter Name,Site_keys,LU,ppm
0,Sulfur dioxide,[ 44.09674  -70.216166],"{'Commercial and Services': 0.22, 'Residential': 0.16, 'Industrial and commercial complexes': 0.62}",0.005903118000000001
1,Sulfur dioxide,[ 44.098406 -70.215055],"{'Commercial and Services': 0.33, 'Residential': 0.35, 'Industrial and commercial complexes': 0.32}",0.015501809
2,Sulfur dioxide,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}",0.004264589
3,Sulfur dioxide,[ 47.351984 -68.293652],"{'Residential': 0.16, 'Cropland and pasture': 0.72, 'Evergreen forest land': 0.12}",0.010269476
4,Sulfur dioxide,[ 47.352753 -68.325709],"{'Commercial and Services': 0.2, 'Residential': 0.72, 'Cropland and pasture': 0.08}",0.004546924
5,Sulfur dioxide,[ 43.658138 -70.258104],"{'Commercial and Services': 0.76, 'Mixed urban or built-up land': 0.18, 'Transportation, communications and services': 0.06}",0.0036750800000000003
6,Sulfur dioxide,[ 43.673138 -70.252826],"{'Commercial and Services': 0.29, 'Residential': 0.17, 'Bays and estuaries': 0.28, 'Other urban or built-up land': 0.21, 'Transportation, communications and services': 0.05}",0.004217458
7,Sulfur dioxide,[ 43.670637 -70.336994],"{'Commercial and Services': 0.08, 'Industrial': 0.1, 'Cropland and pasture': 0.44, 'Mixed forest land': 0.38}",0.001529396
8,Sulfur dioxide,[ 43.623416 -70.209214],"{'Commercial and Services': 0.3, 'Residential': 0.09, 'Null area -- no land use assigned': 0.55, 'Bays and estuaries': 0.06}",0.001026663
9,Sulfur dioxide,[ 43.721471 -70.134214],"{'Residential': 0.2857142857142857, 'Bays and estuaries': 0.6211180124223602, 'Mixed forest land': 0.024844720496894408, 'Evergreen forest land': 0.06832298136645963}",0.0009941549999999998
10,Sulfur dioxide,[ 43.85508  -70.110328],"{'Mixed forest land': 0.11, 'Commercial and Services': 0.09, 'Residential': 0.39, 'Other urban or built-up land': 0.2, 'Transportation, communications and services': 0.19, 'Evergreen forest land': 0.02}",0.001617858
11,Sulfur dioxide,[ 43.83258  -70.148105],"{'Residential': 0.24324324324324326, 'Nonforested wetland': 0.02702702702702703, 'Evergreen forest land': 0.7297297297297297}",0.023084711
12,Sulfur dioxide,[ 44.492567 -70.230852],{'Mixed forest land': 1.0},0.013520704
13,Sulfur dioxide,[ 44.08147  -69.155598],"{'Strip mines, quarries and gravel pits': 0.26, 'Industrial': 0.16, 'Cropland and pasture': 0.36, 'Mixed forest land': 0.22}",0.002474162
14,Sulfur dioxide,[ 44.080637 -69.16532 ],"{'Residential': 0.17, 'Cropland and pasture': 0.64, 'Mixed forest land': 0.15, 'Strip mines, quarries and gravel pits': 0.04}",0.005285496000000001
15,Sulfur dioxide,[ 44.085081 -69.163098],"{'Strip mines, quarries and gravel pits': 0.21, 'Industrial': 0.11, 'Cropland and pasture': 0.68}",0.010001092
16,Sulfur dioxide,[ 44.103969 -69.141986],"{'Residential': 0.01, 'Cropland and pasture': 0.99}",0.004165655999999999
17,Sulfur dioxide,[ 44.096389 -69.147169],"{'Commercial and Services': 0.018867924528301886, 'Residential': 0.05660377358490566, 'Cropland and pasture': 0.9056603773584906, 'Transportation, communications and services': 0.009433962264150943, 'Strip mines, quarries and gravel pits': 0.009433962264150943}",0.0057306480000000005
18,Sulfur dioxide,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}",0.008480625
19,Sulfur dioxide,[ 44.543397 -70.52701 ],"{'Streams and canals': 0.39, 'Evergreen forest land': 0.61}",0.004545515
20,Sulfur dioxide,[ 44.563119 -70.558399],"{'Commercial and Services': 0.13793103448275862, 'Residential': 0.25, 'Evergreen forest land': 0.6120689655172413}",0.008795709
21,Sulfur dioxide,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}",0.026285151000000003
22,Sulfur dioxide,[ 45.651994 -68.698091],"{'Residential': 0.08, 'Industrial': 0.18, 'Other urban or built-up land': 0.63, 'Transportation, communications and services': 0.06, 'Evergreen forest land': 0.05}",0.015629767000000003
23,Sulfur dioxide,[ 45.632553 -68.568919],"{'Commercial and Services': 0.04, 'Residential': 0.57, 'Deciduous forest land': 0.23, 'Evergreen forest land': 0.16}",0.006334387
24,Sulfur dioxide,[ 45.63894  -68.691701],"{'Industrial': 0.04, 'Deciduous forest land': 0.64, 'Transportation, communications and services': 0.18, 'Evergreen forest land': 0.14}",0.004148839
25,Sulfur dioxide,[ 45.64755  -68.701702],"{'Other urban or built-up land': 0.08, 'Industrial': 0.84, 'Deciduous forest land': 0.01, 'Evergreen forest land': 0.07}",0.013102316999999999
26,Sulfur dioxide,[ 45.660606 -68.694202],"{'Commercial and Services': 0.2, 'Residential': 0.41, 'Evergreen forest land': 0.39}",0.022811185
27,Sulfur dioxide,[ 45.15304  -67.397468],"{'Residential': 0.48, 'Industrial': 0.15, 'Evergreen forest land': 0.29, 'Mixed forest land': 0.08}",0.01126
