,Parameter Name,Site_keys,LU,ppm
0,Sulfur dioxide,[ 40.438958 -79.996997],"{'Commercial and Services': 0.7407407407407407, 'Streams and canals': 0.04938271604938271, 'Transportation, communications and services': 0.20987654320987653}",0.014267710000000001
1,Sulfur dioxide,[ 40.41368  -79.941162],"{'Residential': 0.86, 'Industrial': 0.05, 'Deciduous forest land': 0.09}",0.009777777999999999
2,Sulfur dioxide,[ 40.443367 -79.990293],"{'Commercial and Services': 0.53, 'Residential': 0.16, 'Transportation, communications and services': 0.31}",0.012984678000000001
3,Sulfur dioxide,[ 40.323768 -79.868062],"{'Commercial and Services': 0.07317073170731707, 'Residential': 0.6260162601626016, 'Deciduous forest land': 0.11382113821138211, 'Mixed forest land': 0.18699186991869918}",0.0176426685
4,Sulfur dioxide,[ 40.547797 -79.757813],"{'Residential': 0.44, 'Industrial': 0.19, 'Deciduous forest land': 0.37}",0.0203166295
5,Sulfur dioxide,[ 40.610899 -79.74616 ],"{'Residential': 0.78, 'Deciduous forest land': 0.15, 'Other urban or built-up land': 0.07}",0.0204521055
6,Sulfur dioxide,[ 40.402328 -79.860973],"{'Commercial and Services': 0.29, 'Residential': 0.61, 'Deciduous forest land': 0.03, 'Industrial': 0.05, 'Other urban or built-up land': 0.02}",0.016759611
7,Sulfur dioxide,[ 40.3178   -79.890873],"{'Residential': 0.22, 'Streams and canals': 0.4, 'Industrial': 0.33, 'Mixed forest land': 0.02, 'Mixed urban or built-up land': 0.03}",0.012475554
8,Sulfur dioxide,[ 40.491409 -80.061711],"{'Commercial and Services': 0.2, 'Residential': 0.21, 'Streams and canals': 0.59}",0.016685237000000002
9,Sulfur dioxide,[ 40.499767 -80.071337],"{'Residential': 0.68, 'Streams and canals': 0.25, 'Industrial': 0.07}",0.019382479999999997
10,Sulfur dioxide,[ 40.375644 -80.169943],"{'Commercial and Services': 0.17, 'Strip mines, quarries and gravel pits': 0.02, 'Deciduous forest land': 0.18, 'Cropland and pasture': 0.63}",0.016778658000000002
11,Sulfur dioxide,[ 40.635575 -80.230605],"{'Commercial and Services': 0.28, 'Residential': 0.39, 'Streams and canals': 0.33}",0.015891341
12,Sulfur dioxide,[ 40.747796 -80.316442],"{'Commercial and Services': 0.1, 'Residential': 0.2, 'Streams and canals': 0.17, 'Industrial': 0.44, 'Other urban or built-up land': 0.09}",0.009833518
13,Sulfur dioxide,[ 40.635019 -80.444223],"{'Commercial and Services': 0.21, 'Residential': 0.36, 'Industrial': 0.12, 'Deciduous forest land': 0.31}",0.014481635999999999
14,Sulfur dioxide,[ 40.320278 -75.926667],"{'Commercial and Services': 0.19, 'Residential': 0.4, 'Industrial': 0.08, 'Deciduous forest land': 0.33}",0.020516483999999998
15,Sulfur dioxide,[ 40.535278 -78.370833],"{'Commercial and Services': 0.1292517006802721, 'Residential': 0.1292517006802721, 'Deciduous forest land': 0.6802721088435374, 'Other urban or built-up land': 0.047619047619047616, 'Transportation, communications and services': 0.013605442176870748}",0.010898235000000001
16,Sulfur dioxide,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}",0.013686863
17,Sulfur dioxide,[ 41.00557  -79.716976],{'Deciduous forest land': 1.0},0.011793498
18,Sulfur dioxide,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}",0.015773119
