,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,1,1,2,42401,1,32.428470000000004,-86.443585,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2344,27,N,105,366,0,0,0.0,,Certification not required,0,8.87619,8.552660000000001,40.0,1980-12-14 19:00,35.0,1980-11-21 17:00,35.0,1980-12-20 14:00,30.0,1980-12-12 12:00,,,,,35.0,35.0,27.0,20.0,12.0,7.0,0.0,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2010-10-13,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
1,1,1,2,42401,1,32.428470000000004,-86.443585,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2344,27,N,105,366,0,0,,,Certification not required,0,2.90529,4.238462999999999,40.0,1980-12-14 19:00,35.0,1980-11-21 17:00,35.0,1980-12-20 14:00,30.0,1980-11-21 13:00,,,,,22.0,16.0,10.0,7.0,4.0,2.0,0.0,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2010-10-13,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
2,1,1,2,42401,1,32.428470000000004,-86.443585,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,105,29,N,105,366,0,0,0.0,,Certification not required,0,2.90381,2.8538069999999998,15.4,1980-11-21 00:00,12.8,1980-12-20 00:00,12.7,1980-12-14 00:00,7.9,1980-11-19 00:00,,,,,12.8,12.7,7.5,6.2,4.2,2.3,0.0,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2010-10-13,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
3,1,1,2,42401,1,32.428470000000004,-86.443585,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,732,25,N,102,366,0,0,,0.0,Certification not required,0,2.936202,3.9569970000000003,33.3,1980-12-14 20:00,27.3,1980-11-21 17:00,26.6,1980-11-21 14:00,26.6,1980-12-20 17:00,,,,,17.3,15.0,10.6,7.3,4.0,2.0,0.0,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2010-10-13,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
4,1,1,2,44201,1,32.428470000000004,-86.443585,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3334,42,N,115,275,0,0,1.0,1.0,Certification not required,0,0.061478,0.019735,0.125,1980-06-05 16:00,0.105,1980-07-02 13:00,0.1,1980-08-22 12:00,0.095,1980-04-22 12:00,,,,,0.105,0.1,0.095,0.085,0.075,0.06,0.04,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2016-08-18,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
5,1,1,2,44201,1,32.428470000000004,-86.443585,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3253,38,N,104,275,0,0,4.0,4.0,Certification not required,0,0.054327,0.017851,0.096,1980-06-05 11:00,0.09300000000000001,1980-06-12 11:00,0.09300000000000001,1980-08-22 09:00,0.092,1980-07-02 10:00,,,,,0.09300000000000001,0.09300000000000001,0.08,0.075,0.066,0.054000000000000006,0.035,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2016-08-18,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
6,1,1,2,44201,1,32.428470000000004,-86.443585,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3253,38,N,105,275,0,0,11.0,11.0,Certification not required,0,0.054581,0.017955000000000002,0.096,1980-06-05 11:00,0.09300000000000001,1980-06-12 11:00,0.09300000000000001,1980-08-22 09:00,0.092,1980-07-02 10:00,,,,,0.09300000000000001,0.09300000000000001,0.081,0.077,0.066,0.054000000000000006,0.035,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2016-08-18,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
7,1,1,2,44201,1,32.428470000000004,-86.443585,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2319,40,N,110,275,0,0,22.0,22.0,Certification not required,0,0.054626999999999995,0.018290999999999998,0.096,1980-06-05 11:00,0.09300000000000001,1980-06-12 11:00,0.09300000000000001,1980-08-22 09:00,0.092,1980-07-02 10:00,,,,,0.09300000000000001,0.09300000000000001,0.081,0.077,0.066,0.055999999999999994,0.035,,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,Alabama,Autauga,Prattville,"Montgomery, AL",2016-08-18,[ 32.42847  -86.443585],"{'Cropland and pasture': 0.7246376811594203, 'Orchards, groves, vineyards, nurseries..': 0.2753623188405797}"
0,1,3,3,11101,1,30.555471999999998,-87.713599,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,43,70,N,43,61,0,0,,,Certification not required,0,52.418605,15.796673,94.0,1980-07-14 00:00,86.0,1980-07-08 00:00,81.0,1980-06-02 00:00,78.0,1980-04-21 00:00,,,,,94.0,94.0,81.0,77.0,62.0,49.0,34.0,,"RACINE AND MICHIGAN ST, ROBERTSDALE, AL.",Alabama,Baldwin,Not in a city,"Daphne-Fairhope-Foley, AL",2010-04-25,[ 30.555472 -87.713599],"{'Commercial and Services': 0.37, 'Residential': 0.43, 'Cropland and pasture': 0.2}"
0,1,5,1,11101,1,31.891271999999997,-85.13521,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,53,61,0,0,,,Certification not required,0,53.981481,17.818254999999997,98.0,1980-12-05 00:00,91.0,1980-05-27 00:00,83.0,1980-11-11 00:00,81.0,1980-07-14 00:00,,,,,98.0,91.0,83.0,76.0,70.0,53.0,35.0,,601 EAST BARBOUR US HGWY 82,Alabama,Barbour,Eufaula,"Eufaula, AL-GA",2010-04-25,[ 31.891272 -85.13521 ],"{'Commercial and Services': 0.25, 'Residential': 0.16, 'Reservoirs': 0.46, 'Mixed forest land': 0.13}"
