,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,4,1,5,11101,1,34.11303,-109.29343999999999,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,90.711538,37.235518,180.0,1980-10-24 00:00,179.0,1980-11-11 00:00,163.0,1980-11-05 00:00,160.0,1980-10-30 00:00,,,,,180.0,179.0,163.0,142.0,109.0,90.0,40.0,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2010-04-25,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
1,4,1,5,11103,1,34.11303,-109.29343999999999,WGS84,Benzene soluble organics (TSP),24 HOUR,,Observed Values,HI-VOL - BENZENE EXTRACTION-SOXHLET,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,52,61,0,0,,,Certification not required,0,8.432692,8.51989,36.9,1980-12-17 00:00,29.6,1980-01-04 00:00,25.6,1980-12-11 00:00,23.5,1980-10-30 00:00,,,,,36.9,29.6,25.6,20.4,13.9,4.2,1.6,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2010-04-25,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
2,4,1,5,12103,1,34.11303,-109.29343999999999,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,52,61,0,0,,,Certification not required,0,0.0011539999999999999,0.0032259999999999997,0.01,1980-02-03 00:00,0.01,1980-04-27 00:00,0.01,1980-05-21 00:00,0.01,1980-06-02 00:00,,,,,0.01,0.01,0.01,0.01,0.0,0.0,0.0,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2012-09-20,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
3,4,1,5,12114,1,34.11303,-109.29343999999999,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,51,61,0,0,,,Certification not required,0,0.061730999999999994,0.13836199999999999,0.98,1980-01-04 00:00,0.23,1980-03-04 00:00,0.19,1980-01-16 00:00,0.16,1980-08-25 00:00,,,,,0.98,0.23,0.19,0.11,0.05,0.04,0.0,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2016-04-01,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
4,4,1,5,12126,1,34.11303,-109.29343999999999,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,52,61,0,0,,,Certification not required,0,1.388077,0.74862,3.49,1980-11-05 00:00,3.49,1980-11-11 00:00,2.78,1980-10-30 00:00,2.71,1980-10-24 00:00,,,,,3.49,3.49,2.78,2.43,1.72,1.3,0.6,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2010-04-25,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
5,4,1,5,12128,1,34.11303,-109.29343999999999,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,52,61,0,0,,,Certification not required,0,0.144808,0.087861,0.35,1980-01-04 00:00,0.34,1980-12-17 00:00,0.33,1980-10-24 00:00,0.33,1980-10-30 00:00,,,,,0.35,0.34,0.33,0.27,0.21,0.12,0.06,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2013-06-29,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
6,4,1,5,12167,1,34.11303,-109.29343999999999,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,52,61,0,0,,,Certification not required,0,0.190769,0.15948299999999999,0.63,1980-01-10 00:00,0.58,1980-01-04 00:00,0.55,1980-01-16 00:00,0.49,1980-01-28 00:00,,,,,0.63,0.58,0.55,0.41,0.28,0.16,0.02,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2016-04-01,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
7,4,1,5,12306,1,34.11303,-109.29343999999999,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - SPECIFIC ION ELECTRODE,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,50,61,0,0,,,Certification not required,0,1.526923,2.098937,14.0,1980-12-17 00:00,5.2,1980-12-11 00:00,4.6,1980-01-04 00:00,4.0,1980-04-03 00:00,,,,,14.0,5.2,4.6,2.7,1.5,1.3,0.0,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2016-04-05,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
8,4,1,5,12403,1,34.11303,-109.29343999999999,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,N,51,61,0,0,,,Certification not required,0,3.5480769999999997,2.485289,8.5,1980-06-26 00:00,8.1,1980-01-16 00:00,8.0,1980-01-04 00:00,7.8,1980-01-22 00:00,,,,,8.5,8.1,8.0,7.1,5.9,3.3,0.6,,"CENTRAL AND HARLESS  EAGAR, AZ",Arizona,Apache,Eagar,,2016-04-05,[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}"
9,4,1,6,11101,1,34.4225,-109.15,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,34,56,N,34,61,0,0,,,Certification not required,0,19.676471,9.650625999999999,39.0,1980-07-08 00:00,37.0,1980-01-16 00:00,36.0,1980-03-22 00:00,35.0,1980-06-20 00:00,,,,,39.0,39.0,37.0,35.0,26.0,18.0,8.0,,ST. JOHNS (13.3 MI EAST AND 31 DEGREES S,Arizona,Apache,Saint Johns,,2010-04-25,[  34.4225 -109.15  ],"{'Shrub-brushland rangeland': 0.49238578680203043, 'Mixed rangeland': 0.5076142131979695}"
