,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,13,9,1,11101,1,33.153413,-83.23569,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,42,69,N,42,61,0,0,,,Certification not required,0,41.261905,17.611055,79.0,1980-08-01 00:00,78.0,1980-07-14 00:00,75.0,1980-06-14 00:00,68.0,1980-07-08 00:00,,,,,79.0,79.0,75.0,65.0,58.0,36.0,24.0,,BALDWIN CO AIRPORT,Georgia,Baldwin,Milledgeville,"Milledgeville, GA",2010-04-25,[ 33.153413 -83.23569 ],"{'Residential': 0.11731843575418995, 'Reservoirs': 0.13966480446927373, 'Transportation, communications and services': 0.18435754189944134, 'Evergreen forest land': 0.5586592178770949}"
1,13,9,1,42401,1,33.153413,-83.23569,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2194,25,N,88,366,0,0,2.0,,Certification not required,0,16.539773,23.535351000000002,144.9,1980-10-07 13:00,139.9,1980-10-31 16:00,59.8,1980-11-01 13:00,57.5,1980-11-06 13:00,,,,,144.9,139.9,49.9,35.0,19.8,7.6,4.9,,BALDWIN CO AIRPORT,Georgia,Baldwin,Milledgeville,"Milledgeville, GA",2013-02-16,[ 33.153413 -83.23569 ],"{'Residential': 0.11731843575418995, 'Reservoirs': 0.13966480446927373, 'Transportation, communications and services': 0.18435754189944134, 'Evergreen forest land': 0.5586592178770949}"
2,13,9,1,42401,1,33.153413,-83.23569,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,2194,25,N,88,366,0,0,,,Certification not required,0,6.134822,7.330660000000001,144.9,1980-10-07 13:00,144.9,1980-10-07 14:00,139.9,1980-10-31 16:00,94.9,1980-10-31 17:00,,,,,32.4,19.8,9.9,4.9,4.9,4.9,4.9,,BALDWIN CO AIRPORT,Georgia,Baldwin,Milledgeville,"Milledgeville, GA",2013-02-16,[ 33.153413 -83.23569 ],"{'Residential': 0.11731843575418995, 'Reservoirs': 0.13966480446927373, 'Transportation, communications and services': 0.18435754189944134, 'Evergreen forest land': 0.5586592178770949}"
3,13,9,1,42401,1,33.153413,-83.23569,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,88,24,N,88,366,0,0,0.0,,Certification not required,0,6.2329550000000005,3.096521,27.5,1980-10-07 00:00,17.8,1980-10-31 00:00,13.1,1980-12-12 00:00,11.5,1980-12-31 00:00,,,,,27.5,17.8,10.7,8.3,6.4,5.0,4.9,,BALDWIN CO AIRPORT,Georgia,Baldwin,Milledgeville,"Milledgeville, GA",2013-02-16,[ 33.153413 -83.23569 ],"{'Residential': 0.11731843575418995, 'Reservoirs': 0.13966480446927373, 'Transportation, communications and services': 0.18435754189944134, 'Evergreen forest land': 0.5586592178770949}"
4,13,9,1,42401,1,33.153413,-83.23569,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,660,23,N,87,366,0,0,,0.0,Certification not required,0,6.151515,6.804146,110.7,1980-10-07 14:00,99.8,1980-10-31 17:00,69.0,1980-10-07 17:00,38.3,1980-11-06 14:00,,,,,26.5,20.6,10.7,7.4,4.9,4.9,4.9,,BALDWIN CO AIRPORT,Georgia,Baldwin,Milledgeville,"Milledgeville, GA",2013-02-16,[ 33.153413 -83.23569 ],"{'Residential': 0.11731843575418995, 'Reservoirs': 0.13966480446927373, 'Transportation, communications and services': 0.18435754189944134, 'Evergreen forest land': 0.5586592178770949}"
0,13,15,1,11101,1,34.176764,-84.78688199999999,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,56.263158,20.422787,106.0,1980-08-07 00:00,103.0,1980-08-01 00:00,95.0,1980-04-21 00:00,89.0,1980-07-02 00:00,,,,,106.0,103.0,95.0,87.0,68.0,52.0,33.0,,FIRE STATION #2 MOON STREET,Georgia,Bartow,Cartersville,"Atlanta-Sandy Springs-Roswell, GA",2010-04-25,[ 34.176764 -84.786882],"{'Commercial and Services': 0.18, 'Residential': 0.45, 'Transportation, communications and services': 0.23, 'Strip mines, quarries and gravel pits': 0.14}"
0,13,21,1,11101,1,32.915415,-83.704624,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,50.272727,21.307671,119.0,1980-05-27 00:00,92.0,1980-07-14 00:00,91.0,1980-07-02 00:00,88.0,1980-06-02 00:00,,,,,119.0,92.0,91.0,85.0,61.0,45.0,28.0,,4499 RIVERSIDE DRIVE MACON GA,Georgia,Bibb,Not in a city,"Macon, GA",2010-04-25,[ 32.915415 -83.704624],"{'Evergreen forest land': 0.36752136752136755, 'Transportation, communications and services': 0.48717948717948717, 'Mixed forest land': 0.1452991452991453}"
1,13,21,1,42401,1,32.915415,-83.704624,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8131,93,Y,338,366,0,0,4.0,,Certification not required,0,12.244675,13.697839000000002,114.8,1980-02-14 12:00,94.9,1980-02-07 14:00,87.3,1980-05-15 14:00,69.8,1980-11-25 14:00,,,,,85.0,64.8,35.0,24.7,12.5,7.6,4.9,,4499 RIVERSIDE DRIVE MACON GA,Georgia,Bibb,Not in a city,"Macon, GA",2013-02-16,[ 32.915415 -83.704624],"{'Evergreen forest land': 0.36752136752136755, 'Transportation, communications and services': 0.48717948717948717, 'Mixed forest land': 0.1452991452991453}"
2,13,21,1,42401,1,32.915415,-83.704624,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,8131,93,Y,338,366,0,0,,,Certification not required,0,5.9367849999999995,4.756245,114.8,1980-02-14 12:00,94.9,1980-02-07 14:00,90.0,1980-02-07 15:00,90.0,1980-02-14 14:00,,,,,24.7,14.8,9.9,7.6,4.9,4.9,4.9,,4499 RIVERSIDE DRIVE MACON GA,Georgia,Bibb,Not in a city,"Macon, GA",2013-02-16,[ 32.915415 -83.704624],"{'Evergreen forest land': 0.36752136752136755, 'Transportation, communications and services': 0.48717948717948717, 'Mixed forest land': 0.1452991452991453}"
3,13,21,1,42401,1,32.915415,-83.704624,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,338,92,Y,338,366,0,0,0.0,,Certification not required,0,5.892899,2.304185,29.7,1980-02-07 00:00,25.2,1980-02-14 00:00,17.3,1980-05-15 00:00,12.3,1980-07-29 00:00,,,,,12.3,11.4,9.4,8.1,5.8,5.0,4.9,,4499 RIVERSIDE DRIVE MACON GA,Georgia,Bibb,Not in a city,"Macon, GA",2013-02-16,[ 32.915415 -83.704624],"{'Evergreen forest land': 0.36752136752136755, 'Transportation, communications and services': 0.48717948717948717, 'Mixed forest land': 0.1452991452991453}"
