,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,23,1,5,61101,1,44.0457,-70.2902,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,8204,93,Y,335,366,0,0,,,Certification not required,0,5.993380999999999,4.393052,26.9,1980-11-11 10:00,26.1,1980-01-12 01:00,24.3,1980-01-12 02:00,24.3,1980-01-21 10:00,,,,,19.1,17.4,14.8,12.2,8.7,5.2,1.7,L/A Airport,L/A AIRPORT - On Top of Salt Shed Near Flight Line Drive,Maine,Androscoggin,Auburn,"Lewiston-Auburn, ME",2016-05-25,[ 44.0457 -70.2902],"{'Transportation, communications and services': 0.83, 'Mixed forest land': 0.17}"
1,23,1,5,61102,1,44.0457,-70.2902,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,7724,88,Y,313,366,0,0,,,Certification not required,0,215.009063,116.533901,360.0,1980-01-01 22:00,360.0,1980-01-02 00:00,360.0,1980-01-02 02:00,360.0,1980-01-02 03:00,,,,,360.0,360.0,350.0,340.0,320.0,230.0,30.0,L/A Airport,L/A AIRPORT - On Top of Salt Shed Near Flight Line Drive,Maine,Androscoggin,Auburn,"Lewiston-Auburn, ME",2016-05-23,[ 44.0457 -70.2902],"{'Transportation, communications and services': 0.83, 'Mixed forest land': 0.17}"
2,23,1,8,11101,1,44.087573,-70.221166,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,81.55555600000001,40.019093,145.0,1980-12-23 00:00,125.0,1980-12-11 00:00,124.0,1980-11-23 00:00,79.0,1980-12-29 00:00,,,,,145.0,145.0,145.0,145.0,124.0,70.0,32.0,,LEPAGE BAKERY-60 SECOND ST,Maine,Androscoggin,Auburn,"Lewiston-Auburn, ME",2010-04-25,[ 44.087573 -70.221166],"{'Commercial and Services': 0.14705882352941177, 'Residential': 0.7352941176470589, 'Streams and canals': 0.09803921568627451, 'Industrial and commercial complexes': 0.0196078431372549}"
3,23,1,1005,11101,1,44.097573,-70.215055,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,118,100,Y,61,61,0,0,,,Certification not required,0,60.220339,22.006656,140.0,1980-03-04 00:00,133.0,1980-12-02 00:00,117.0,1980-12-23 00:00,116.0,1980-06-26 00:00,,,,,133.0,117.0,105.0,91.0,69.0,58.0,38.0,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2010-04-25,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
4,23,1,1005,12128,1,44.097573,-70.215055,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.27724099999999996,0.164922,0.9,1980-12-23 00:00,0.74,1980-01-10 00:00,0.6,1980-03-04 00:00,0.52,1980-01-04 00:00,,,,,0.9,0.74,0.6,0.44,0.36,0.28,0.13,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2013-06-29,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
5,23,1,1005,12403,2,44.097573,-70.215055,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,10.717241,3.862284,22.9,1980-12-23 00:00,21.6,1980-06-26 00:00,21.1,1980-08-31 00:00,21.0,1980-12-29 00:00,,,,,22.9,21.6,21.1,15.2,12.1,10.2,6.9,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2010-04-25,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
6,23,1,1005,42401,1,44.097573,-70.215055,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,1980,Parts per billion,No Events,18,30,N,18,61,0,0,0.0,,Certification not required,0,20.666667,14.286975,47.0,1980-01-22 00:00,43.0,1980-02-09 00:00,42.0,1980-03-04 00:00,37.0,1980-01-10 00:00,,,,,47.0,47.0,47.0,43.0,31.0,19.0,5.0,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2010-10-13,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
7,23,1,1005,42401,1,44.097573,-70.215055,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,1980,Parts per billion,No Events,18,30,N,18,61,0,0,,,Certification not required,0,20.666667,14.286975,47.0,1980-01-22 00:00,43.0,1980-02-09 00:00,42.0,1980-03-04 00:00,37.0,1980-01-10 00:00,,,,,47.0,47.0,47.0,43.0,31.0,19.0,5.0,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2010-10-13,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
8,23,1,1005,42602,1,44.097573,-70.215055,WGS84,Nitrogen dioxide (NO2),24 HOUR,NO2 Annual 1971,Observed values,GAS-BUBBLER - NASN SODIUM ARSENITE-ORIFICE,1980,Parts per billion,No Events,23,38,N,23,61,0,0,,,Certification not required,0,19.043478,8.314708999999999,36.0,1980-03-04 00:00,34.0,1980-02-09 00:00,31.0,1980-01-10 00:00,29.0,1980-01-22 00:00,,,,,36.0,36.0,34.0,31.0,24.0,18.0,11.0,,"POST OFFICE, 49 ASH STREET, LEWISTON, ME",Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2010-10-13,[ 44.097573 -70.215055],"{'Commercial and Services': 0.22, 'Residential': 0.37, 'Industrial and commercial complexes': 0.41}"
9,23,1,1007,42101,1,44.096740000000004,-70.216166,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6755,77,Y,279,366,0,0,0.0,0.0,Certification not required,0,1.345625,1.358069,14.0,1980-01-10 15:00,11.5,1980-01-09 08:00,11.0,1980-01-09 09:00,11.0,1980-01-09 10:00,,,,,6.3,5.3,4.0,3.0,2.0,1.0,0.0,,HUMAN SVCS. BLDG.-ASH ST.,Maine,Androscoggin,Lewiston,"Lewiston-Auburn, ME",2016-04-19,[ 44.09674  -70.216166],"{'Commercial and Services': 0.22, 'Residential': 0.16, 'Industrial and commercial complexes': 0.62}"
