,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,25,3,5,42401,1,42.452863,-73.200659,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6542,74,N,264,366,0,0,7.0,,Certification not required,0,22.367424,18.329822,110.0,1980-01-11 01:00,98.0,1980-07-15 19:00,93.0,1980-05-21 02:00,91.0,1980-02-20 08:00,,,,,93.0,76.0,60.0,46.0,30.0,18.0,5.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2013-02-16,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
1,25,3,5,42401,1,42.452863,-73.200659,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,6542,74,N,264,366,0,0,,,Certification not required,0,7.440844,9.112477,110.0,1980-01-11 01:00,98.0,1980-07-15 19:00,93.0,1980-05-21 02:00,92.0,1980-01-11 00:00,,,,,45.0,33.0,22.0,16.0,10.0,5.0,0.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2013-02-16,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
2,25,3,5,42401,1,42.452863,-73.200659,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,264,72,N,264,366,0,0,0.0,,Certification not required,0,7.416288000000001,5.9331059999999995,37.3,1980-12-18 00:00,32.4,1980-02-20 00:00,31.5,1980-06-23 00:00,27.2,1980-02-14 00:00,,,,,31.5,25.4,17.5,14.8,10.5,6.3,1.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2013-02-16,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
3,25,3,5,42401,1,42.452863,-73.200659,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2139,73,N,264,366,0,0,,0.0,Certification not required,0,7.4331,8.321468,94.0,1980-01-11 02:00,72.6,1980-06-23 17:00,71.6,1980-12-18 02:00,70.6,1980-05-31 02:00,,,,,39.0,32.0,21.0,16.3,10.0,5.3,0.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2013-02-16,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
4,25,3,5,44201,1,42.452863,-73.200659,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4879,96,Y,205,214,0,0,1.0,1.0,Certification not required,0,0.05419500000000001,0.020386,0.13,1980-09-20 14:00,0.107,1980-07-27 17:00,0.105,1980-08-01 17:00,0.10300000000000001,1980-07-19 16:00,,,,,0.105,0.102,0.095,0.085,0.065,0.05,0.03,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-08-18,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
5,25,3,5,44201,1,42.452863,-73.200659,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4895,95,Y,203,214,0,0,10.0,10.0,Certification not required,0,0.046995,0.017848,0.109,1980-09-20 11:00,0.094,1980-07-15 19:00,0.091,1980-07-27 11:00,0.09,1980-07-19 12:00,,,,,0.091,0.087,0.08199999999999999,0.07400000000000001,0.055999999999999994,0.045,0.025,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-08-18,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
6,25,3,5,44201,1,42.452863,-73.200659,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4895,95,Y,203,214,0,0,17.0,17.0,Certification not required,0,0.046995,0.017848,0.109,1980-09-20 11:00,0.094,1980-07-15 19:00,0.091,1980-07-27 11:00,0.09,1980-07-19 12:00,,,,,0.091,0.087,0.08199999999999999,0.07400000000000001,0.055999999999999994,0.045,0.025,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-08-18,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
7,25,3,5,44201,1,42.452863,-73.200659,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,3473,95,Y,204,214,0,0,27.0,27.0,Certification not required,0,0.046686,0.017941,0.109,1980-09-20 11:00,0.094,1980-07-15 19:00,0.091,1980-07-27 11:00,0.09,1980-07-19 12:00,,,,,0.091,0.087,0.08199999999999999,0.07400000000000001,0.055,0.045,0.025,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-08-18,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
8,25,3,5,61101,1,42.452863,-73.200659,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Knots,No Events,279,3,N,10,366,0,0,,,Certification not required,0,2.343728,2.109712,8.7,1980-02-17 11:00,8.7,1980-02-29 09:00,7.8,1980-02-17 10:00,7.8,1980-02-29 08:00,,,,,7.8,6.9,6.1,5.2,3.5,2.6,0.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-05-25,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
9,25,3,5,61102,1,42.452863,-73.200659,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Degrees Compass,No Events,279,3,N,10,366,0,0,,,Certification not required,0,196.845878,119.37198300000001,358.0,1980-02-19 07:00,357.0,1980-02-15 22:00,357.0,1980-02-19 03:00,355.0,1980-02-14 02:00,,,,,357.0,353.0,344.0,330.0,270.0,256.0,0.0,,EAST STREET,Massachusetts,Berkshire,Pittsfield,"Pittsfield, MA",2016-05-23,[ 42.452863 -73.200659],"{'Residential': 0.33, 'Industrial and commercial complexes': 0.27, 'Deciduous forest land': 0.26, 'Cropland and pasture': 0.14}"
