,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,33,1,2,11101,1,43.528133000000004,-71.468129,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,57.79661,27.314124,163.0,1980-03-04 00:00,121.0,1980-01-10 00:00,119.0,1980-11-23 00:00,109.0,1980-12-29 00:00,,,,,163.0,121.0,119.0,106.0,64.0,52.0,29.0,,BEACON STREET,New Hampshire,Belknap,Laconia,"Laconia, NH",2010-04-25,[ 43.528133 -71.468129],"{'Commercial and Services': 0.2885572139303483, 'Mixed forest land': 0.4975124378109453, 'Evergreen forest land': 0.21393034825870647}"
0,33,5,1,11101,1,42.917582,-71.999525,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,34,56,N,34,61,0,0,,,Certification not required,0,58.882353,29.433813,162.0,1980-11-23 00:00,131.0,1980-12-29 00:00,109.0,1980-12-11 00:00,94.0,1980-07-20 00:00,,,,,162.0,162.0,131.0,94.0,69.0,51.0,33.0,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2010-04-25,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
1,33,5,1,12403,1,42.917582,-71.999525,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,33,54,N,33,61,0,0,,,Certification not required,0,5.660606,5.69539,32.8,1980-07-20 00:00,14.3,1980-12-29 00:00,10.9,1980-08-01 00:00,10.2,1980-08-31 00:00,,,,,32.8,32.8,14.3,10.2,5.9,3.9,2.2,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2010-04-25,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
2,33,5,1,42101,1,42.917582,-71.999525,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8517,97,Y,352,366,0,0,0.0,0.0,Certification not required,0,1.9970290000000002,1.877564,16.8,1980-11-24 09:00,16.1,1980-07-30 07:00,15.4,1980-11-24 08:00,14.8,1980-12-18 17:00,,,,,8.8,7.4,5.8,4.4,2.7,1.4,0.4,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2016-04-19,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
3,33,5,1,42101,1,42.917582,-71.999525,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8511,97,Y,351,366,0,0,8.0,8.0,Certification not required,0,2.005287,1.505459,11.8,1980-11-24 14:00,11.6,1980-11-24 13:00,11.5,1980-11-24 15:00,10.9,1980-11-24 12:00,11.8,1980-11-24 14:00,9.8,1980-01-11 16:00,7.2,6.3,5.1,4.1,2.7,1.5,0.6,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2016-04-19,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
4,33,5,1,42401,1,42.917582,-71.999525,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,1980,Parts per billion,No Events,5317,61,N,215,366,0,0,6.0,,Certification not required,0,27.827907,19.457674,92.0,1980-12-21 11:00,91.0,1980-02-12 09:00,91.0,1980-02-19 09:00,89.0,1980-12-24 11:00,,,,,91.0,80.0,70.0,56.0,39.0,22.0,9.0,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2013-02-16,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
5,33,5,1,42401,1,42.917582,-71.999525,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,1980,Parts per billion,No Events,5317,61,N,215,366,0,0,,,Certification not required,0,13.232462,11.473517,92.0,1980-12-21 11:00,91.0,1980-02-12 09:00,91.0,1980-02-19 09:00,89.0,1980-12-24 11:00,,,,,53.0,46.0,35.0,28.0,17.0,10.0,0.0,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2013-02-16,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
6,33,5,1,42401,1,42.917582,-71.999525,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,215,59,N,215,366,0,0,0.0,,Certification not required,0,13.281395000000002,9.088096,45.5,1980-12-24 00:00,44.5,1980-02-19 00:00,38.6,1980-12-18 00:00,38.5,1980-12-23 00:00,,,,,38.6,37.8,31.0,26.5,17.9,11.8,4.0,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2013-02-16,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
7,33,5,1,42401,1,42.917582,-71.999525,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1760,60,N,215,366,0,0,,0.0,Certification not required,0,13.186364000000001,10.864166,82.3,1980-12-21 11:00,80.3,1980-12-24 11:00,67.6,1980-02-19 11:00,66.0,1980-12-23 11:00,,,,,49.3,42.6,35.0,28.0,18.0,10.3,2.3,,"CITY HALL, 3 WASHINGTON STREET",New Hampshire,Cheshire,Keene,"Keene, NH",2013-02-16,[ 42.917582 -71.999525],"{'Nonforested wetland': 0.046511627906976744, 'Mixed forest land': 0.9534883720930233}"
0,33,5,5,11101,1,42.935914000000004,-72.277586,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,20,33,N,20,61,0,0,,,Certification not required,0,74.75,26.590214000000003,136.0,1980-01-10 00:00,112.0,1980-02-21 00:00,111.0,1980-03-04 00:00,99.0,1980-03-10 00:00,,,,,136.0,136.0,136.0,112.0,94.0,71.0,44.0,, 40 MECHANIC ST.,New Hampshire,Cheshire,Keene,"Keene, NH",2010-04-25,[ 42.935914 -72.277586],"{'Commercial and Services': 0.3, 'Residential': 0.7}"
1,33,5,5,12403,2,42.935914000000004,-72.277586,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,20,33,N,20,61,0,0,,,Certification not required,0,6.925,5.156894,18.5,1980-03-10 00:00,14.8,1980-04-27 00:00,12.7,1980-03-22 00:00,10.6,1980-04-15 00:00,,,,,18.5,18.5,18.5,14.8,10.3,7.3,0.8,, 40 MECHANIC ST.,New Hampshire,Cheshire,Keene,"Keene, NH",2010-04-25,[ 42.935914 -72.277586],"{'Commercial and Services': 0.3, 'Residential': 0.7}"
0,33,7,1,11101,1,44.470614000000005,-71.168132,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,92.901961,36.578821999999995,187.0,1980-01-04 00:00,177.0,1980-12-23 00:00,174.0,1980-05-27 00:00,167.0,1980-02-15 00:00,,,,,187.0,177.0,174.0,149.0,108.0,85.0,55.0,,ANGEL GUARDIAN SHOOL 107 SULLIVAN ST,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.470614 -71.168132],"{'Residential': 0.56, 'Streams and canals': 0.03, 'Industrial': 0.24, 'Deciduous forest land': 0.17}"
