,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
0,34,1,2,42101,1,39.3575,-74.439444,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7610,87,Y,291,366,0,0,0.0,0.0,Certification not required,0,2.8371619999999997,1.8902430000000001,17.4,1980-01-31 16:00,17.3,1980-03-25 16:00,16.5,1980-01-03 16:00,13.8,1980-05-08 15:00,,,,,9.0,8.0,6.6,5.4,3.7,2.3,1.0,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2016-04-19,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
1,34,1,2,42101,1,39.3575,-74.439444,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7405,84,Y,279,366,0,0,7.0,7.0,Certification not required,0,2.823795,1.5508620000000002,10.4,1980-02-17 19:00,10.0,1980-02-12 19:00,9.9,1980-01-31 18:00,9.9,1980-02-17 20:00,10.4,1980-02-17 19:00,10.0,1980-02-12 19:00,8.0,7.2,5.9,4.9,3.6,2.4,1.2,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2016-04-19,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
2,34,1,2,42401,2,39.3575,-74.439444,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6828,78,N,260,366,0,0,1.0,,Certification not required,0,10.826922999999999,10.00255,101.0,1980-02-14 02:00,73.0,1980-02-13 18:00,40.0,1980-03-04 06:00,36.0,1980-01-10 02:00,,,,,49.0,39.0,30.0,24.0,14.0,8.0,2.0,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2013-02-16,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
3,34,1,2,42401,2,39.3575,-74.439444,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6828,78,N,260,366,0,0,,,Certification not required,0,6.548037,5.720214,101.0,1980-02-14 02:00,76.0,1980-02-14 07:00,73.0,1980-02-13 18:00,70.0,1980-02-14 05:00,,,,,27.0,22.0,17.0,13.0,8.0,6.0,1.0,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2013-02-16,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
4,34,1,2,42401,2,39.3575,-74.439444,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,260,71,N,260,366,0,0,0.0,,Certification not required,0,6.415769,4.379333,31.1,1980-02-14 00:00,26.8,1980-02-13 00:00,19.0,1980-01-30 00:00,17.9,1980-01-26 00:00,,,,,19.0,17.5,15.2,12.2,8.3,5.8,1.5,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2013-02-16,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
5,34,1,2,42401,2,39.3575,-74.439444,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2206,75,N,257,366,0,0,,0.0,Certification not required,0,6.48019,5.2983720000000005,57.6,1980-02-13 20:00,57.3,1980-02-14 02:00,54.0,1980-02-14 08:00,38.3,1980-02-05 20:00,,,,,25.6,21.6,16.3,12.6,8.0,5.6,1.3,,2229 ATLANTIC AVENUE,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2013-02-16,[ 39.3575   -74.439444],"{'Commercial and Services': 0.32, 'Residential': 0.31, 'Null area -- no land use assigned': 0.01, 'Transitional areas': 0.09, 'Beaches': 0.27}"
6,34,1,3,11101,1,39.354839,-74.457651,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,46.54717,15.118209,87.0,1980-12-29 00:00,83.0,1980-06-02 00:00,76.0,1980-08-01 00:00,70.0,1980-06-26 00:00,,,,,87.0,83.0,76.0,66.0,57.0,45.0,27.0,,ALBANY AVENUE & KING STREET,New Jersey,Atlantic,Atlantic City,"Atlantic City-Hammonton, NJ",2010-04-25,[ 39.354839 -74.457651],"{'Commercial and Services': 0.07, 'Residential': 0.61, 'Streams and canals': 0.26, 'Transportation, communications and services': 0.06}"
7,34,1,4,11101,1,39.600395,-74.749328,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,0,,,Certification not required,0,45.5625,12.24465,65.0,1980-08-07 00:00,63.0,1980-09-12 00:00,61.0,1980-07-02 00:00,61.0,1980-07-26 00:00,,,,,65.0,65.0,63.0,61.0,55.0,48.0,30.0,,STATE POLICE BARRACKS RT 30 (MULLICA TWP,New Jersey,Atlantic,Not in a city,"Atlantic City-Hammonton, NJ",2010-04-25,[ 39.600395 -74.749328],"{'Commercial and Services': 0.28, 'Mixed forest land': 0.72}"
8,34,1,5,42101,1,39.530256,-74.46028100000001,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7204,82,Y,266,366,0,0,0.0,0.0,Certification not required,0,0.46379799999999993,0.27577399999999996,5.6,1980-07-18 20:00,3.3,1980-05-05 12:00,3.1,1980-07-30 11:00,2.7,1980-05-05 11:00,,,,,1.4,1.2,1.0,0.9,0.6,0.3,0.3,NACOTE CREEK RESEARCH STATION,"BRIGANTINE WILDLIFE REFUGE,NACOTE CREEK",New Jersey,Atlantic,Galloway (Township of),"Atlantic City-Hammonton, NJ",2016-04-19,[ 39.530256 -74.460281],"{'Nonforested wetland': 0.36, 'Mixed forest land': 0.64}"
9,34,1,5,42101,1,39.530256,-74.46028100000001,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,6957,79,Y,254,366,0,0,0.0,0.0,Certification not required,0,0.46646499999999996,0.232052,1.7,1980-07-19 01:00,1.6,1980-01-10 04:00,1.6,1980-01-10 05:00,1.6,1980-01-10 06:00,1.7,1980-07-19 01:00,1.6,1980-01-10 04:00,1.2,1.1,0.9,0.8,0.6,0.4,0.3,NACOTE CREEK RESEARCH STATION,"BRIGANTINE WILDLIFE REFUGE,NACOTE CREEK",New Jersey,Atlantic,Galloway (Township of),"Atlantic City-Hammonton, NJ",2016-04-19,[ 39.530256 -74.460281],"{'Nonforested wetland': 0.36, 'Mixed forest land': 0.64}"
