Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Average Ambient Pressure,Average Ambient Temperature,Outdoor Temperature,Solar radiation,Wind Speed - Resultant
PM2.5 - Local Conditions,[ 42.452017 -73.255089],0.0053849815,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.83,0.0,0,0,0.0,0,0,0,0.17,0,0.0,755.4858282631579,11.994237277777778,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 42.448009 -73.254108],0.005602420666670001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.63,0.0,0,0,0.0,0,0,0,0.37,0,0.0,732.973451,9.89469,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 41.685707 -71.169235],0.006387800999999999,0.0,0.0,0.12,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.64,0,0.01,756.6916669999998,12.384167,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 42.474642 -70.970816],0.005536488000000001,0.0,0.0,0.01,0.0,0,0,0,0.0,0.08,0.0,0.0,0,0,0.0,0,0,0,0.91,0,0.0,756.345455,11.4,52.07785,0.222659,3.375128
PM2.5 - Local Conditions,[ 42.770837 -71.10229 ],0.010354545,0.0161290322581,0.0,0.00806451612903,0.0,0,0,0,0.0,0.12903225806500002,0.0645161290323,0.0,0,0,0.0,0,0,0,0.782258064516,0,0.0,755.72807,10.82193,52.17627,0.194995,3.375128
PM2.5 - Local Conditions,[ 42.698215 -71.164413],0.0054389830000000005,0.0,0.0,0.155,0.0,0,0,0,0.0,0.0,0.075,0.5,0,0,0.0,0,0,0,0.2,0,0.07,758.761062,11.337168,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 42.605816 -72.596689],0.005857835,0.025,0.0,0.0,0.0,0,0,0,0.0,0.0,0.166666666667,0.0,0,0,0.0,0,0,0,0.808333333333,0,0.0,753.044643,10.9125,57.048611,0.267426,3.375128
PM2.5 - Local Conditions,[ 42.19438  -72.555112],0.005036,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.87,0.0,0,0,0.0,0,0,0,0.13,0,0.0,754.583333,12.141667,51.608676,0.246496,3.375128
PM2.5 - Local Conditions,[ 42.108992 -72.590803],0.0066692834999999995,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.94,0.0,0,0,0.0,0,0,0,0.0,0,0.06,758.073394,12.792661,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 42.298493 -72.334079],0.006111184,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2,0.0,0,0,0.0,0,0,0,0.0,0,0.0,755.4858282631579,11.994237277777778,50.054392,0.199568,3.375128
PM2.5 - Local Conditions,[ 42.211774 -71.11397 ],0.0062155959999999994,0.285,0.0,0.0,0.0,0,0,0,0.0,0.0,0.095,0.5,0,0,0.12,0,0,0,0.0,0,0.0,755.4858282631579,11.994237277777778,52.226682,0.24221,3.375128
PM2.5 - Local Conditions,[ 42.065106 -71.012129],0.007160181999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5392156862749999,0.0,0,0,0.0,0,0,0,0.460784313725,0,0.0,758.528926,11.683471,52.39245030769231,0.22095315384615383,3.375128
PM2.5 - Local Conditions,[ 42.348873 -71.097163],0.005961062,0.0,0.0,0.13089005235600001,0.0,0,0,0,0.0,0.0,0.21465968586399997,0.5235602094240001,0,0,0.0,0,0,0,0.13089005235600001,0,0.0,761.1284400000002,13.378899,52.39245030769231,0.22095315384615383,3.375128
