Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[ 30.555472 -87.713599],51.745098,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.37,0.0,0,0,0.2,0,0,0,0.43,0,0.0,0.0
Suspended particulate (TSP),[ 31.891272 -85.13521 ],52.418605,0.13,0.0,0.46,0.0,0.0,0,0,0.0,0.0,0.25,0.0,0,0,0.0,0,0,0,0.16,0,0.0,0.0
Suspended particulate (TSP),[ 33.949542 -86.473042],51.5,0.01,0.0,0.0,0.0,0.0,0,0,0.0,0.01,0.7,0.0,0,0,0.0,0,0,0,0.28,0,0.0,0.0
Suspended particulate (TSP),[ 33.656771 -85.824409],80.179487,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.338624338624,0.0,0,0,0.0,0,0,0,0.529100529101,0,0.132275132275,0.0
Suspended particulate (TSP),[ 33.685659 -85.837744],59.172662,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.376543209877,0,0,0,0.617283950617,0,0.00617283950617,0.0
Suspended particulate (TSP),[ 32.83957  -86.628871],92.32,0.06,0.0,0.0,0.0,0.0,0,0,0.0,0.02,0.58,0.0,0,0,0.02,0,0,0,0.32,0,0.0,0.0
Suspended particulate (TSP),[ 32.209311 -88.051961],74.659574,0.625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.33125,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.720368 -87.819755],42.098039,0.31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.69,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.761756 -87.639195],70.25,0.230769230769,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.721153846154,0,0,0,0.0192307692308,0,0.0288461538462,0.0
Suspended particulate (TSP),[ 34.716757 -87.881701],45.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.689813 -87.849756],39.166667,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.33,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.735368 -87.875312],56.169014,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.762619 -87.638097],53.981481,0.140186915888,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.803738317757,0,0,0,0.0467289719626,0,0.00934579439252,0.0
Suspended particulate (TSP),[ 31.477664 -86.963307],41.153846,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 31.305727 -86.488569],52.842105,0.547263681592,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0845771144279,0.0,0,0,0.0,0,0,0,0.36815920398,0,0.0,0.0
Suspended particulate (TSP),[ 34.179266 -86.843612],49.480769,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.438202247191,0.0,0,0,0.0,0,0,0,0.561797752809,0,0.0,0.0
Suspended particulate (TSP),[ 32.408193 -87.017768],47.084746,0.0,0.0,0.196078431373,0.0,0.0,0,0,0.0,0.0,0.558823529412,0.0,0,0,0.225490196078,0,0,0,0.0196078431373,0,0.0,0.0
Suspended particulate (TSP),[ 34.456199 -85.707189],52.363636,0.0357142857143,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.107142857143,0.0,0,0,0.0,0,0,0,0.857142857143,0,0.0,0.0
Suspended particulate (TSP),[ 31.106567 -87.071081],60.016949,0.578034682081,0.0,0.00578034682081,0.0,0.0,0,0,0.0,0.0,0.28901734104,0.0,0,0,0.0,0,0,0,0.0982658959538,0,0.028901734104,0.0
Suspended particulate (TSP),[ 33.996487 -86.047195],55.183333,0.02,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.36,0,0,0,0.62,0,0.0,0.0
Suspended particulate (TSP),[ 34.011208 -86.057473],45.472727,0.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.07,0,0,0,0.6,0,0.27,0.0
Suspended particulate (TSP),[ 34.015375 -86.012194],47.631579,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.47,0.0,0,0,0.0,0,0,0,0.53,0,0.0,0.0
Suspended particulate (TSP),[ 34.511762 -87.718088],43.368421,0.492610837438,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.182266009852,0.0,0,0,0.221674876847,0,0,0,0.103448275862,0,0.0,0.0
Suspended particulate (TSP),[ 31.228787 -85.375489],64.0625,0.04,0.0,0.0,0.0,0.0,0,0,0.0,0.15,0.01,0.0,0,0,0.0,0,0,0,0.62,0,0.18,0.0
Suspended particulate (TSP),[ 34.934525 -85.720804],55.647059,0.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.91,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.855637 -85.747473],55.491228,0.606060606061,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.393939393939,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.877025 -85.720805],92.267857,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
