Site,commercial,crop_land,forest,industrial,medium_density_residential,open_land,transitional,transportation,urban_public_institution,water,wetland,outdoor_temperature,wind_speed_resultant,solar_radiation
"[(-71.201970000000003, 42.291440999999999), (-71.197266400000004, 42.291440999999999), (-71.197266400000004, 42.29402374), (-71.201970000000003, 42.29402374)]",0.96,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.197266400000004, 42.291440999999999), (-71.192562800000005, 42.291440999999999), (-71.192562800000005, 42.29402374), (-71.197266400000004, 42.29402374)]",0.23,0.0,0.19,0.06,0.0,0.0,0.0,0.0,0.32,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.192562800000005, 42.291440999999999), (-71.187859200000005, 42.291440999999999), (-71.187859200000005, 42.29402374), (-71.192562800000005, 42.29402374)]",0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.187859200000005, 42.291440999999999), (-71.183155600000006, 42.291440999999999), (-71.183155600000006, 42.29402374), (-71.187859200000005, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.183155600000006, 42.291440999999999), (-71.178452000000007, 42.291440999999999), (-71.178452000000007, 42.29402374), (-71.183155600000006, 42.29402374)]",0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.178452000000007, 42.291440999999999), (-71.173748400000008, 42.291440999999999), (-71.173748400000008, 42.29402374), (-71.178452000000007, 42.29402374)]",0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.173748400000008, 42.291440999999999), (-71.169044800000009, 42.291440999999999), (-71.169044800000009, 42.29402374), (-71.173748400000008, 42.29402374)]",0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.169044800000009, 42.291440999999999), (-71.16434120000001, 42.291440999999999), (-71.16434120000001, 42.29402374), (-71.169044800000009, 42.29402374)]",0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.16434120000001, 42.291440999999999), (-71.159637599999996, 42.291440999999999), (-71.159637599999996, 42.29402374), (-71.16434120000001, 42.29402374)]",0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.159637599999996, 42.291440999999999), (-71.154933999999997, 42.291440999999999), (-71.154933999999997, 42.29402374), (-71.159637599999996, 42.29402374)]",0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.154933999999997, 42.291440999999999), (-71.150230399999998, 42.291440999999999), (-71.150230399999998, 42.29402374), (-71.154933999999997, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.150230399999998, 42.291440999999999), (-71.145526799999999, 42.291440999999999), (-71.145526799999999, 42.29402374), (-71.150230399999998, 42.29402374)]",0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.145526799999999, 42.291440999999999), (-71.1408232, 42.291440999999999), (-71.1408232, 42.29402374), (-71.145526799999999, 42.29402374)]",0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.1408232, 42.291440999999999), (-71.136119600000001, 42.291440999999999), (-71.136119600000001, 42.29402374), (-71.1408232, 42.29402374)]",0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.136119600000001, 42.291440999999999), (-71.131416000000002, 42.291440999999999), (-71.131416000000002, 42.29402374), (-71.136119600000001, 42.29402374)]",0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.1,23.7761904762,8.49702380952,1.05952380952
"[(-71.131416000000002, 42.291440999999999), (-71.126712400000002, 42.291440999999999), (-71.126712400000002, 42.29402374), (-71.131416000000002, 42.29402374)]",0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.126712400000002, 42.291440999999999), (-71.122008800000003, 42.291440999999999), (-71.122008800000003, 42.29402374), (-71.126712400000002, 42.29402374)]",0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.122008800000003, 42.291440999999999), (-71.117305200000004, 42.291440999999999), (-71.117305200000004, 42.29402374), (-71.122008800000003, 42.29402374)]",0.12,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.01,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.117305200000004, 42.291440999999999), (-71.112601600000005, 42.291440999999999), (-71.112601600000005, 42.29402374), (-71.117305200000004, 42.29402374)]",0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.112601600000005, 42.291440999999999), (-71.107898000000006, 42.291440999999999), (-71.107898000000006, 42.29402374), (-71.112601600000005, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.107898000000006, 42.291440999999999), (-71.103194400000007, 42.291440999999999), (-71.103194400000007, 42.29402374), (-71.107898000000006, 42.29402374)]",0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.103194400000007, 42.291440999999999), (-71.098490800000008, 42.291440999999999), (-71.098490800000008, 42.29402374), (-71.103194400000007, 42.29402374)]",0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.05,0.37,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.098490800000008, 42.291440999999999), (-71.093787200000008, 42.291440999999999), (-71.093787200000008, 42.29402374), (-71.098490800000008, 42.29402374)]",0.0,0.12,0.53,0.0,0.0,0.0,0.17,0.06,0.11,0.0,0.01,23.7761904762,8.49702380952,1.05952380952
"[(-71.093787200000008, 42.291440999999999), (-71.089083600000009, 42.291440999999999), (-71.089083600000009, 42.29402374), (-71.093787200000008, 42.29402374)]",0.03,0.0,0.17,0.0,0.0,0.0,0.24,0.0,0.2,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.089083600000009, 42.291440999999999), (-71.08438000000001, 42.291440999999999), (-71.08438000000001, 42.29402374), (-71.089083600000009, 42.29402374)]",0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.08438000000001, 42.291440999999999), (-71.079676399999997, 42.291440999999999), (-71.079676399999997, 42.29402374), (-71.08438000000001, 42.29402374)]",0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.079676399999997, 42.291440999999999), (-71.074972799999998, 42.291440999999999), (-71.074972799999998, 42.29402374), (-71.079676399999997, 42.29402374)]",0.09,0.0,0.0,0.06,0.0,0.03,0.0,0.05,0.03,0.0,0.0,23.7761904762,8.49702380952,1.05952380952
"[(-71.074972799999998, 42.291440999999999), (-71.070269199999998, 42.291440999999999), (-71.070269199999998, 42.29402374), (-71.074972799999998, 42.29402374)]",0.1,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.04,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
"[(-71.070269199999998, 42.291440999999999), (-71.065565599999999, 42.291440999999999), (-71.065565599999999, 42.29402374), (-71.070269199999998, 42.29402374)]",0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,22.327976190500003,4.06488095238,1.83333333333
