Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[ 42.452017 -73.255089],0.0053849815,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.83,0.0,0,0,0.0,0,0,0,0.17,0,0.0
PM2.5 - Local Conditions,[ 42.448009 -73.254108],0.005602420666666668,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.63,0.0,0,0,0.0,0,0,0,0.37,0,0.0
PM2.5 - Local Conditions,[ 41.685707 -71.169235],0.006387800999999999,0.0,0.0,0.12,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.64,0,0.01
PM2.5 - Local Conditions,[ 42.474642 -70.970816],0.005536488000000001,0.0,0.0,0.01,0.0,0,0,0,0.0,0.08,0.0,0.0,0,0,0.0,0,0,0,0.91,0,0.0
PM2.5 - Local Conditions,[ 42.770837 -71.10229 ],0.010354545,0.016129032258064516,0.0,0.008064516129032258,0.0,0,0,0,0.0,0.12903225806451613,0.06451612903225806,0.0,0,0,0.0,0,0,0,0.782258064516129,0,0.0
PM2.5 - Local Conditions,[ 42.698215 -71.164413],0.0054389830000000005,0.0,0.0,0.155,0.0,0,0,0,0.0,0.0,0.075,0.5,0,0,0.0,0,0,0,0.2,0,0.07
PM2.5 - Local Conditions,[ 42.605816 -72.596689],0.0058578350000000005,0.025,0.0,0.0,0.0,0,0,0,0.0,0.0,0.16666666666666666,0.0,0,0,0.0,0,0,0,0.8083333333333333,0,0.0
PM2.5 - Local Conditions,[ 42.19438  -72.555112],0.0050360000000000005,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.87,0.0,0,0,0.0,0,0,0,0.13,0,0.0
PM2.5 - Local Conditions,[ 42.108992 -72.590803],0.0066692834999999995,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.94,0.0,0,0,0.0,0,0,0,0.0,0,0.06
PM2.5 - Local Conditions,[ 42.298493 -72.334079],0.006111184,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2,0.0,0,0,0.0,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[ 42.211774 -71.11397 ],0.0062155959999999994,0.285,0.0,0.0,0.0,0,0,0,0.0,0.0,0.095,0.5,0,0,0.12,0,0,0,0.0,0,0.0
PM2.5 - Local Conditions,[ 42.065106 -71.012129],0.0071601819999999984,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5392156862745098,0.0,0,0,0.0,0,0,0,0.46078431372549017,0,0.0
PM2.5 - Local Conditions,[ 42.348873 -71.097163],0.0059610620000000005,0.0,0.0,0.13089005235602094,0.0,0,0,0,0.0,0.0,0.21465968586387435,0.5235602094240838,0,0,0.0,0,0,0,0.13089005235602094,0,0.0
