Parameter Name,Latitude,Longitude,Sample Collection Start Time,ppm,forest,open_land,water,wetland,transitional,urban_public_institution,commercial,transportation,crop_land,medium_density_residential,industrial,outdoor_temperature,solar_radiation,wind_speed_resultant
Nitrogen Dioxide,42.348873,-71.097163,10.0,0.01,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,11.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,12.0,0.006,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,13.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,14.0,0.006,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,15.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,16.0,0.016,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,17.0,0.008,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,18.0,0.008,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,19.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,20.0,0.005,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,21.0,0.004,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,22.0,0.003,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,23.0,0.002,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,24.0,0.002,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,25.0,0.001,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,27.0,0.001,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,28.0,0.004,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,29.0,0.003,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,30.0,0.012,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,31.0,0.015,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.348873,-71.097163,32.0,0.017,0.0,0.0,0.0,0.0,0.0,0.11,0.59,0.02,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,34.0,0.005,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,35.0,0.005,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,36.0,0.004,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,37.0,0.005,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,38.0,0.004,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,39.0,0.004,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,40.0,0.005,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,41.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,42.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,43.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,44.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,45.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,46.0,0.003,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,47.0,0.002,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,48.0,0.002,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,49.0,0.002,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,50.0,0.002,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,51.0,0.001,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,52.0,0.004,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,53.0,0.006,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,54.0,0.008,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,55.0,0.009000000000000001,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.3294,-71.0825,56.0,0.009000000000000001,0.0,0.03,0.0,0.0,0.01,0.19,0.36,0.07,0.0,0.0,0.01,23.7761904762,1.05952380952,8.49702380952
Nitrogen Dioxide,42.325184,-71.05608000000002,58.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02,22.327976190500003,1.83333333333,4.06488095238
