Parameter Name,Latitude,Longitude,Sample Collection Start Time,ppm,forest,open_land,water,wetland,transitional,urban_public_institution,commercial,transportation,crop_land,medium_density_residential,industrial,outdoor_temperature,solar_radiation,wind_speed_resultant
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,10.0,0.012,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,11.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,12.0,0.016,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,13.0,0.016,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,14.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,15.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,16.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,17.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,18.0,0.012,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,19.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,20.0,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,21.0,0.006,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,22.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,23.0,0.002,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,24.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,25.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,26.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,27.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
Acceptable PM2.5 Aqi and Speciation Mass,42.3631,-71.0542,28.0,0.001,0.0,0.0,0.0,0.0,0.05,0.0,0.28,0.19,0.0,0.0,0.0,23.7761904762,1.05952380952,8.49702380952
