,		State Code,County Code,Tribal Code,Site ID,Support Agency Code,Location Address,City Code,Postal Code,Local ID,Local Name,Urban Area Code,AQCR Code,Land Use ID,Location Setting ID,Site Established Date,Latitude,Longitude,Horizontal Method Code,Horizontal Datum ID,Parameter Code,Parameter Name,Substance Occurrence Code,Duration Code,Method ID,Measure Unit Code,Sample Collection Start Date,Sample Collection Start Time,Measure Value,Measure Unit,Null Data Code,Qualifier Code,Data Validity Code
0,		MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 10:00:00,10.0,12,ug/m3 LC,,,RAW
1,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 11:00:00,11.0,13,ug/m3 LC,,,RAW
2,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 12:00:00,12.0,16,ug/m3 LC,,,RAW
3,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 13:00:00,13.0,16,ug/m3 LC,,,RAW
4,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 14:00:00,14.0,13,ug/m3 LC,,,RAW
5,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 15:00:00,15.0,10,ug/m3 LC,,,RAW
6,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 16:00:00,16.0,10,ug/m3 LC,,,RAW
7,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 17:00:00,17.0,10,ug/m3 LC,,,RAW
8,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 18:00:00,18.0,12,ug/m3 LC,,,RAW
9,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 19:00:00,19.0,10,ug/m3 LC,,,RAW
10,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-19 20:00:00,20.0,10,ug/m3 LC,,,RAW
