Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[ 42.452017 -73.255089],0.0053849815,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.83,0.0,0,0,0.0,0,0,0,0.17,0,0.0
PM2.5 - Local Conditions,[ 42.448009 -73.254108],0.00560242066667,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.63,0.0,0,0,0.0,0,0,0,0.37,0,0.0
PM2.5 - Local Conditions,[ 41.685707 -71.169235],0.006387801,0.0,0.0,0.12,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.64,0,0.01
PM2.5 - Local Conditions,[ 42.474642 -70.970816],0.005536488,0.0,0.0,0.01,0.0,0,0,0,0.0,0.08,0.0,0.0,0,0,0.0,0,0,0,0.91,0,0.0
PM2.5 - Local Conditions,[ 42.770837 -71.10229 ],0.010354545,0.0161290322581,0.0,0.00806451612903,0.0,0,0,0,0.0,0.129032258065,0.0645161290323,0.0,0,0,0.0,0,0,0,0.782258064516,0,0.0
PM2.5 - Local Conditions,[ 42.698215 -71.164413],0.005438983,0.0,0.0,0.155,0.0,0,0,0,0.0,0.0,0.075,0.5,0,0,0.0,0,0,0,0.2,0,0.07
PM2.5 - Local Conditions,[ 42.605816 -72.596689],0.005857835,0.025,0.0,0.0,0.0,0,0,0,0.0,0.0,0.166666666667,0.0,0,0,0.0,0,0,0,0.808333333333,0,0.0
PM2.5 - Local Conditions,[ 42.19438  -72.555112],0.005036,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.87,0.0,0,0,0.0,0,0,0,0.13,0,0.0
PM2.5 - Local Conditions,[ 42.108992 -72.590803],0.0066692835,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.94,0.0,0,0,0.0,0,0,0,0.0,0,0.06
PM2.5 - Local Conditions,[ 42.298493 -72.334079],0.006111184,0.008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.2,0.0,0,0,0.0,0,0,0,0.0,0,0.0
