Parameter Name,Site_keys_x,Arithmetic Mean,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
SO2,[ 32.42847  -86.443585],0.00290529,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 31.056847 -87.259142],0.000587097,0.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.53,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.720368 -87.819755],0.004579016,0.31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.69,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.772033 -87.901423],0.004710949,0.47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.53,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.716757 -87.881701],0.008465641999999999,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.689813 -87.849756],0.0059993830000000005,0.67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.33,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.735368 -87.875312],0.008110175,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 31.228787 -85.375489],0.007934783,0.04,0.0,0.0,0.0,0.0,0,0,0.0,0.15,0.01,0.0,0.0,0,0.0,0,0,0,0.62,0,0.18,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.856748 -85.73525 ],0.007966906,0.62893081761,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.37106918239,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.912302 -85.664136],0.009829716,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.855637 -85.747473],0.008749404,0.606060606061,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.393939393939,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.877025 -85.720805],0.009693607,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.867859 -85.721361],0.007140837,0.671532846715,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.328467153285,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.938969 -85.66108 ],0.01233023,0.82,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.18,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.959804 -85.775529],0.00711716,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.842582 -85.820531],0.005878670999999999,0.0,0.0,0.01,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.99,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.918414 -85.733861],0.0067660409999999995,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.67,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.872581 -85.743028],0.005326593,0.68,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.32,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
SO2,[ 34.818971 -85.77164 ],0.009148807,0.662251655629,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.337748344371,0,0,0,0.0,0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
