,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
0,"[(-71.201970000000003, 42.291440999999999), (-71.197266400000004, 42.291440999999999), (-71.197266400000004, 42.29402374), (-71.201970000000003, 42.29402374)]",0.0,0.0,0.0,0.0,0.96,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"[(-71.197266400000004, 42.291440999999999), (-71.192562800000005, 42.291440999999999), (-71.192562800000005, 42.29402374), (-71.197266400000004, 42.29402374)]",0.0,0.0,0.0,0.0,0.23,0.0,0.19,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.32,0.0,0.0,0.0
2,"[(-71.192562800000005, 42.291440999999999), (-71.187859200000005, 42.291440999999999), (-71.187859200000005, 42.29402374), (-71.192562800000005, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.09,0.0,0.0,0.0
3,"[(-71.187859200000005, 42.291440999999999), (-71.183155600000006, 42.291440999999999), (-71.183155600000006, 42.29402374), (-71.187859200000005, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
4,"[(-71.183155600000006, 42.291440999999999), (-71.178452000000007, 42.291440999999999), (-71.178452000000007, 42.29402374), (-71.183155600000006, 42.29402374)]",0.0,0.0,0.0,0.44,0.0,0.0,0.03,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"[(-71.178452000000007, 42.291440999999999), (-71.173748400000008, 42.291440999999999), (-71.173748400000008, 42.29402374), (-71.178452000000007, 42.29402374)]",0.0,0.0,0.0,0.93,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
6,"[(-71.173748400000008, 42.291440999999999), (-71.169044800000009, 42.291440999999999), (-71.169044800000009, 42.29402374), (-71.173748400000008, 42.29402374)]",0.0,0.0,0.0,0.8,0.0,0.0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"[(-71.169044800000009, 42.291440999999999), (-71.16434120000001, 42.291440999999999), (-71.16434120000001, 42.29402374), (-71.169044800000009, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
8,"[(-71.16434120000001, 42.291440999999999), (-71.159637599999996, 42.291440999999999), (-71.159637599999996, 42.29402374), (-71.16434120000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"[(-71.159637599999996, 42.291440999999999), (-71.154933999999997, 42.291440999999999), (-71.154933999999997, 42.29402374), (-71.159637599999996, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"[(-71.154933999999997, 42.291440999999999), (-71.150230399999998, 42.291440999999999), (-71.150230399999998, 42.29402374), (-71.154933999999997, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0
11,"[(-71.150230399999998, 42.291440999999999), (-71.145526799999999, 42.291440999999999), (-71.145526799999999, 42.29402374), (-71.150230399999998, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"[(-71.145526799999999, 42.291440999999999), (-71.1408232, 42.291440999999999), (-71.1408232, 42.29402374), (-71.145526799999999, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"[(-71.1408232, 42.291440999999999), (-71.136119600000001, 42.291440999999999), (-71.136119600000001, 42.29402374), (-71.1408232, 42.29402374)]",0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"[(-71.136119600000001, 42.291440999999999), (-71.131416000000002, 42.291440999999999), (-71.131416000000002, 42.29402374), (-71.136119600000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.39,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.1
15,"[(-71.131416000000002, 42.291440999999999), (-71.126712400000002, 42.291440999999999), (-71.126712400000002, 42.29402374), (-71.131416000000002, 42.29402374)]",0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
