State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,5,5,42101,1,41.821342,-73.297257,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2016,Parts per million,No Events,8239,94,Y,359,366,0,545,0.0,0.0,Certified,0,0.164105,0.110516,3.87,2016-03-23 10:00,3.457,2016-12-14 10:00,3.369,2016-12-21 10:00,2.986,2016-03-09 10:00,,,,,0.33,0.279,0.235,0.211,0.178,0.151,0.114,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-31,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42101,1,41.821342,-73.297257,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2016,Parts per million,No Events,8556,97,Y,348,366,0,0,0.0,0.0,Certified,0,0.161103,0.071712,1.1,2016-11-14 23:00,1.0,2016-11-14 22:00,1.0,2016-11-15 01:00,0.9,2016-11-14 21:00,1.1,2016-11-14 23:00,0.7,2016-03-09 11:00,0.4,0.3,0.2,0.2,0.2,0.2,0.1,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-31,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42401,1,41.821342,-73.297257,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,8193,93,Y,340,366,0,591,0.0,,Certified,0,0.390882,0.480541,3.2,2016-11-14 20:00,2.9,2016-06-09 15:00,2.3,2016-01-14 08:00,2.3,2016-02-15 10:00,,,,,2.3,2.0,1.3,0.9,0.6,0.2,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42401,1,41.821342,-73.297257,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,8193,93,Y,340,366,0,591,,,Certified,0,0.155389,0.276104,3.2,2016-11-14 20:00,3.1,2016-11-14 19:00,2.9,2016-06-09 15:00,2.8,2016-11-14 18:00,,,,,1.3,1.0,0.7,0.5,0.2,0.1,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42401,1,41.821342,-73.297257,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2016,Parts per billion,No Events,340,93,Y,340,366,0,0,0.0,,Certified,0,0.157059,0.233311,1.4,2016-01-14 00:00,1.3,2016-01-07 00:00,1.1,2016-01-25 00:00,1.1,2016-12-21 00:00,,,,,1.1,1.0,0.6,0.4,0.2,0.1,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42401,1,41.821342,-73.297257,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2016,Parts per billion,No Events,2647,90,Y,336,366,0,0,,0.0,Certified,0,0.143219,0.260962,3.0,2016-11-14 20:00,2.3,2016-01-14 11:00,2.1,2016-11-14 23:00,1.9,2016-01-14 08:00,,,,,1.3,1.0,0.6,0.4,0.2,0.0,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42401,3,41.821342,-73.297257,WGS84,Sulfur dioxide,5 MINUTE,,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2016,Parts per billion,No Events,96775,92,Y,339,366,0,8482,,,Certification not required,0,0.15598,0.281872,4.8,2016-11-14 18:05,4.8,2016-11-14 20:00,4.6,2016-11-14 18:45,4.3,2016-11-14 23:20,,,,,1.3,1.0,0.7,0.5,0.2,0.1,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42600,1,41.821342,-73.297257,WGS84,Reactive oxides of nitrogen (NOy),1 HOUR,,Observed Values,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2016,Parts per billion,No Events,6574,75,Y,273,366,0,2210,,,Certification not required,0,2.603225,3.745664,81.6,2016-03-30 16:00,60.2,2016-03-09 19:00,46.3,2016-01-25 21:00,41.8,2016-01-28 15:00,,,,,18.8,13.7,8.8,6.0,3.0,1.4,0.3,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42601,1,41.821342,-73.297257,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,Multiple Methods Used,2016,Parts per billion,No Events,6816,78,Y,287,366,0,1968,,,Certification not required,0,0.174061,0.571668,14.8,2016-03-30 16:00,14.5,2016-01-13 10:00,13.2,2016-12-21 10:00,11.8,2016-01-06 10:00,,,,,1.8,1.0,0.6,0.3,0.2,0.1,0.0,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2017-03-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
9,5,5,42602,1,41.821342,-73.297257,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2016,Parts per billion,No Events,727,8,N,31,366,0,17,0.0,,Requested but denied,0,8.732258,8.350544,27.9,2016-01-30 18:00,26.0,2016-01-28 15:00,21.2,2016-01-06 19:00,20.8,2016-01-31 20:00,,,,,27.9,27.9,26.0,20.8,16.7,5.8,1.4,Mohawk Mt-Cornwall,MOHAWK MOUNTAIN ROAD (see coordinates),Connecticut,Litchfield,Cornwall,"Torrington, CT",2016-06-29,[ 41.821342 -73.297257],{'Deciduous forest land': 1.0}
