State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2016,Parts per million,Events Excluded,8154,99,Y,182,183,0,584,0.0,0.0,Requested but not yet concurred,0,0.048006,0.012645,0.106,2016-07-22 15:00,0.082,2016-07-06 17:00,0.08,2016-07-21 18:00,0.076,2016-07-18 15:00,,,,,0.082,0.076,0.068,0.063,0.055,0.05,0.041,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2016,Parts per million,Concurred Events Excluded,8200,99,Y,182,183,46,584,0.0,0.0,Requested but not yet concurred,0,0.048379,0.013074,0.106,2016-07-22 15:00,0.086,2016-05-26 18:00,0.082,2016-07-06 17:00,0.08,2016-07-21 18:00,,,,,0.086,0.08,0.071,0.065,0.056,0.05,0.041,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2016,Parts per million,Events Inclucded,8200,99,Y,182,183,46,584,0.0,0.0,Requested but not yet concurred,0,0.048379,0.013074,0.106,2016-07-22 15:00,0.086,2016-05-26 18:00,0.082,2016-07-06 17:00,0.08,2016-07-21 18:00,,,,,0.086,0.08,0.071,0.065,0.056,0.05,0.041,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Events Excluded,8530,99,Y,181,183,0,0,1.0,1.0,Requested but not yet concurred,0,0.043278,0.011271,0.087,2016-07-22 11:00,0.074,2016-07-06 12:00,0.068,2016-05-27 11:00,0.067,2016-05-28 12:00,,,,,0.074,0.067,0.062,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Events Inclucded,8571,99,Y,181,183,0,0,1.0,1.0,Requested but not yet concurred,0,0.04358,0.011799,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Concurred Events Excluded,8571,99,Y,181,183,0,0,1.0,1.0,Requested but not yet concurred,0,0.04358,0.011799,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Events Inclucded,8571,99,Y,181,183,0,0,3.0,3.0,Requested but not yet concurred,0,0.04358,0.011799,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Events Excluded,8530,99,Y,181,183,0,0,1.0,1.0,Requested but not yet concurred,0,0.043278,0.011271,0.087,2016-07-22 11:00,0.074,2016-07-06 12:00,0.068,2016-05-27 11:00,0.067,2016-05-28 12:00,,,,,0.074,0.067,0.062,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2016,Parts per million,Concurred Events Excluded,8571,99,Y,181,183,0,0,3.0,3.0,Requested but not yet concurred,0,0.04358,0.011799,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.039,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,Concurred Events Excluded,6075,99,Y,181,183,0,0,4.0,4.0,Requested but not yet concurred,0,0.043436,0.011912,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.038,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,Events Inclucded,6075,99,Y,181,183,0,0,4.0,4.0,Requested but not yet concurred,0,0.043436,0.011912,0.087,2016-07-22 11:00,0.083,2016-05-26 12:00,0.076,2016-05-25 12:00,0.074,2016-07-06 12:00,,,,,0.083,0.074,0.064,0.057,0.051,0.046,0.038,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
9,15,9991,44201,1,41.84046,-72.010368,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2016,Parts per million,Events Excluded,6048,99,Y,181,183,0,0,2.0,2.0,Requested but not yet concurred,0,0.043133,0.011386,0.087,2016-07-22 11:00,0.074,2016-07-06 12:00,0.068,2016-05-27 11:00,0.067,2016-05-28 12:00,,,,,0.074,0.067,0.062,0.057,0.051,0.045,0.038,Abington,"80 Ayers Rd, Abington, CT 06230",Connecticut,Windham,,"Worcester, MA-CT",2017-04-06,[ 41.84046  -72.010368],"{'Cropland and pasture': 0.32, 'Deciduous forest land': 0.48, 'Mixed forest land': 0.2}"
