,Unnamed: 0,nan,Roadway ID,From Measure,TMC,Route Number,Direction,Community(ies),Segment Begin Location,Segment End Location,Length (miles),Lanes,Speed Limit (mph),AM Average Speed (mph),AM Congested Speed (mph),AM Delay per Mile (minutes),AM Average Travel Time Index,AM% Travel Time Index,AM Speed Index,AM Congested Minutes,PM Average Speed (mph),PM Congested Speed (mph),PM Delay per Mile (minutes),PM Average Travel Time Index,PM% Travel Time Index,PM Speed Index,PM Congested Minutes,begin lat,begin long,end lat,end long
0,3,2.0,1.0,0.0,129P04614,I-290,Eastbound,"MARLBOROUGH, NORTHBOROUGH",Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,0.539919320961,3.0,65,68.46194225720001,24.7215189873,0.0,1.0,1.04615384615,1.0532606501100001,1.9905511811,69.0793902826,0.0,0.0,1.0,1.04615384615,1.0627598505,0.0,42.3434697,-71.62397109999999,42.3434697,-71.62397109999999
1,4,3.0,1.0,851.2534,129+04615,I-290,Eastbound,MARLBOROUGH,Solomon Pond Rd/Exit 25,I-495/Exit 26,1.5000361383399998,3.0,65,65.1202051282,24.2184300341,0.0258506309883,1.02886653794,1.1964285714299998,1.00184930966,7.2123076923100005,66.9494833525,26.0857142857,0.0006757152791769999,1.00075454873,1.06349206349,1.0299920515799998,1.7534704101900003,42.3434697,-71.62397109999999,42.3451548,-71.5748715
2,5,4.0,1.0,3264.1677,129P04615,I-290,Eastbound,MARLBOROUGH,I-495/Exit 26,I-495/Exit 26,0.7020412789480001,2.0,50,53.8644727158,25.932668329200002,0.00279564365412,1.0025160792899999,1.4210526315799998,1.07728945432,10.1188097992,53.6619511684,21.0710382514,0.00699955563887,1.0062996000700002,1.125,1.0732390233700002,4.602326312480001,42.3451548,-71.5748715,42.3451548,-71.5748715
3,6,5.0,2.0,0.0,129N04615,I-290,Westbound,MARLBOROUGH,I-495/Exit 26,I-495/Exit 26,0.823302949887,2.0,45,51.4886388464,18.8333333333,0.130822857226,1.12646209532,1.20833333333,1.14419197436,0.314616561066,51.808319398,32.0,0.123632399277,1.1195113193000001,1.23404255319,1.15129598662,0.125418060201,42.3451548,-71.5748715,42.3451548,-71.5748715
4,7,6.0,2.0,1314.4907,129-04614,I-290,Westbound,"MARLBOROUGH, NORTHBOROUGH",I-495/Exit 26,Solomon Pond Rd/Exit 25,1.70169480375,3.0,65,67.16190578850001,18.358974359,0.0,1.0,1.03125,1.03326008905,1.00894685782,67.62057911069999,0.0,0.0,1.0,1.03125,1.0403166017,0.0,42.3310858,-71.5745455,42.3434697,-71.62397109999999
5,8,7.0,2.0,4045.6338,129N04614,I-290,Westbound,NORTHBOROUGH,Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,0.267786911176,3.0,65,68.5131742739,5.49,0.006178763761430001,1.0071055783299998,1.06153846154,1.05404883498,1.0207,68.89164961510001,0.0,0.00136762185994,1.00157276514,1.06153846154,1.0598715325399999,0.0,42.3434138,-71.6240893,42.3434138,-71.6240893
6,9,8.0,3.0,0.0,129P04284,I-495,Northbound,"FOXBOROUGH, MANSFIELD",I-95/Exit 13,I-95/Exit 13,0.567401978262,3.0,65,65.3860523039,0.0,0.0221045046172,1.0246833634899999,1.09836065574,1.00593926621,0.0,65.97327797300001,28.25,0.0139367421141,1.0155626953599999,1.11666666667,1.01497350728,0.40881507505599995,42.06031309999999,-71.2328078,42.06031309999999,-71.2328078
7,10,9.0,3.0,903.7779,129+04285,I-495,Northbound,"FOXBOROUGH, PLAINVILLE",I-95/Exit 13,US-1/Exit 14,2.1495573466900004,3.0,65,69.4019970045,34.0,0.007385579929569999,1.0086165099200002,1.06060606061,1.0677230308399999,0.023964053919099997,69.9241686942,0.0,0.000929553590587,1.00108447919,1.06060606061,1.07575644145,0.0,42.0102657,-71.2809439,42.0903498,-71.2710184
8,11,10.0,3.0,4344.0029,129P04285,I-495,Northbound,PLAINVILLE,US-1/Exit 14,US-1/Exit 14,0.5454061255120001,3.0,65,66.7001850709,20.9090909091,0.00402534087362,1.0044949639799998,1.06349206349,1.0261566934,0.271437384331,67.4439659813,0.0,0.0,1.0,1.06349206349,1.0375994766299999,0.0,42.0021719,-71.3255976,42.0021719,-71.3255976
9,12,11.0,3.0,5219.9226,129+04286,I-495,Northbound,"PLAINVILLE, WRENTHAM",US-1/Exit 14,MA-1A/South St/Exit 15,1.51132488651,3.0,65,66.5641025641,21.5,0.005864360784670001,1.0065485362100002,1.06349206349,1.02406311637,0.686484829911,67.7167282322,0.0,0.0,1.0,1.046875,1.04179581896,0.0,42.0021719,-71.3255976,42.0318693,-71.3478556
