image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 10:59:20 -0400",1499439560,"Fri, 07 Jul 2017 10:59:51 -0400",1499439591,EDT,America/New_York,-0400,Overcast,72.1 F (22.3 C),72.1,22.3,70%,From the South at 1.8 MPH Gusting to 4.9 MPH,South,169,1.8,4.9,2.9,7.9,1011,29.86,-,61.9 F (16.6 C),61.9,16.6,NA,NA,NA,NA,NA,NA,72.1 F (22.3 C),72.1,22.3,10.0,16.1,147,1.0,0.00 in (0.0 mm),0.00,0.0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 11:59:36 -0400",1499443176,"Fri, 07 Jul 2017 11:59:51 -0400",1499443191,EDT,America/New_York,-0400,Rain,69.8 F (21.0 C),69.8,21.0,88%,From the North at 3.6 MPH Gusting to 4.9 MPH,North,349,3.6,4.9,5.8,7.9,1011,29.86,0,66.2 F (19.0 C),66.2,19.0,NA,NA,NA,NA,NA,NA,69.8 F (21.0 C),69.8,21.0,3.0,4.8,178,1.0,0.07 in (0.2 mm),0.07,0.2,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 12:59:37 -0400",1499446777,"Fri, 07 Jul 2017 12:59:51 -0400",1499446791,EDT,America/New_York,-0400,Rain,68.2 F (20.1 C),68.2,20.1,94%,From the East at 4.9 MPH Gusting to 7.4 MPH,East,94,4.9,7.4,7.9,11.9,1010,29.83,0,66.4 F (19.1 C),66.4,19.1,NA,NA,NA,NA,NA,NA,68.2 F (20.1 C),68.2,20.1,0.5,0.8,139,1.0,0.07 in (0.2 mm),0.07,0.2,0.07 in (2 mm),0.07,2,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 13:59:37 -0400",1499450377,"Fri, 07 Jul 2017 13:59:51 -0400",1499450391,EDT,America/New_York,-0400,Rain,66.6 F (19.2 C),66.6,19.2,95%,From the NNW at 5.1 MPH Gusting to 7.4 MPH,NNW,328,5.1,7.4,8.2,11.9,1010,29.82,0,65.1 F (18.4 C),65.1,18.4,NA,NA,NA,NA,NA,NA,66.6 F (19.2 C),66.6,19.2,4.0,6.4,123,1.0,0.14 in (0.4 mm),0.14,0.4,0.18 in (5 mm),0.18,5,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 14:59:37 -0400",1499453977,"Fri, 07 Jul 2017 14:59:51 -0400",1499453991,EDT,America/New_York,-0400,Rain,64.8 F (18.2 C),64.8,18.2,92%,From the ESE at 5.8 MPH Gusting to 7.4 MPH,ESE,119,5.8,7.4,9.3,11.9,1009,29.79,-,62.4 F (16.9 C),62.4,16.9,NA,NA,NA,NA,NA,NA,64.8 F (18.2 C),64.8,18.2,4.0,6.4,147,1.0,0.00 in (0.0 mm),0.00,0.0,0.25 in (6 mm),0.25,6,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 15:59:37 -0400",1499457577,"Fri, 07 Jul 2017 15:59:51 -0400",1499457591,EDT,America/New_York,-0400,Rain,64.4 F (18.0 C),64.4,18.0,87%,From the SE at 10.3 MPH Gusting to 12.3 MPH,SE,126,10.3,12.3,16.6,19.8,1008,29.77,-,60.4 F (15.8 C),60.4,15.8,NA,NA,NA,NA,NA,NA,64.4 F (18.0 C),64.4,18.0,8.0,12.9,102,1.0,0.14 in (0.4 mm),0.14,0.4,0.27 in (7 mm),0.27,7,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 16:59:37 -0400",1499461177,"Fri, 07 Jul 2017 16:59:51 -0400",1499461191,EDT,America/New_York,-0400,Rain,62.8 F (17.1 C),62.8,17.1,91%,From the East at 8.7 MPH Gusting to 9.8 MPH,East,91,8.7,9.8,14.0,15.8,1006,29.72,-,60.1 F (15.6 C),60.1,15.6,NA,NA,NA,NA,NA,NA,62.8 F (17.1 C),62.8,17.1,2.5,4.0,47,1.0,0.07 in (0.2 mm),0.07,0.2,0.40 in (10 mm),0.40,10,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 17:59:37 -0400",1499464777,"Fri, 07 Jul 2017 17:59:51 -0400",1499464791,EDT,America/New_York,-0400,Overcast,63.0 F (17.2 C),63.0,17.2,93%,From the NNE at 8.3 MPH Gusting to 12.3 MPH,NNE,33,8.3,12.3,13.4,19.8,1006,29.72,-,61.0 F (16.1 C),61.0,16.1,NA,NA,NA,NA,NA,NA,63.0 F (17.2 C),63.0,17.2,7.0,11.3,159,1.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 18:59:37 -0400",1499468377,"Fri, 07 Jul 2017 18:59:51 -0400",1499468391,EDT,America/New_York,-0400,Overcast,64.0 F (17.8 C),64.0,17.8,92%,From the ESE at 8.9 MPH Gusting to 9.8 MPH,ESE,116,8.9,9.8,14.3,15.8,1006,29.72,-,61.7 F (16.5 C),61.7,16.5,NA,NA,NA,NA,NA,NA,64.0 F (17.8 C),64.0,17.8,10.0,16.1,50,1.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 19:59:38 -0400",1499471978,"Fri, 07 Jul 2017 19:59:52 -0400",1499471992,EDT,America/New_York,-0400,Overcast,63.7 F (17.6 C),63.7,17.6,90%,From the NNW at 2.0 MPH Gusting to 2.5 MPH,NNW,333,2.0,2.5,3.2,4.0,1006,29.72,0,60.8 F (16.0 C),60.8,16.0,NA,NA,NA,NA,NA,NA,63.7 F (17.6 C),63.7,17.6,10.0,16.1,5,0.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 20:59:38 -0400",1499475578,"Fri, 07 Jul 2017 20:59:51 -0400",1499475591,EDT,America/New_York,-0400,Overcast,63.1 F (17.3 C),63.1,17.3,90%,From the NNW at 2.5 MPH Gusting to 2.5 MPH,NNW,342,2.5,2.5,4.0,4.0,1006,29.72,0,60.3 F (15.7 C),60.3,15.7,NA,NA,NA,NA,NA,NA,63.1 F (17.3 C),63.1,17.3,10.0,16.1,0,0.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 21:59:37 -0400",1499479177,"Fri, 07 Jul 2017 21:59:51 -0400",1499479191,EDT,America/New_York,-0400,Overcast,63.3 F (17.4 C),63.3,17.4,88%,From the WSW at 2.5 MPH Gusting to 2.5 MPH,WSW,247,2.5,2.5,4.0,4.0,1007,29.73,+,59.7 F (15.4 C),59.7,15.4,NA,NA,NA,NA,NA,NA,63.3 F (17.4 C),63.3,17.4,10.0,16.1,0,0.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,cloudy,http://icons.wxug.com/i/c/k/nt_cloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Boston, MA', 'city': 'Boston', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02199', 'magic': '1', 'wmo': '99999', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '5.8'}","{'full': 'Back Bay, Boston, Massachusetts', 'city': 'Back Bay, Boston', 'state': 'Massachusetts', 'country': '', 'country_iso3166': 'US', 'latitude': '42.348248', 'longitude': '-71.084167', 'elevation': '10 ft'}",{},42.348248,-71.084167,"Fri, 07 Jul 2017 22:59:22 -0400",1499482762,"Fri, 07 Jul 2017 22:59:51 -0400",1499482791,EDT,America/New_York,-0400,Mostly Cloudy,63.7 F (17.6 C),63.7,17.6,87%,From the North at 2.9 MPH Gusting to 4.9 MPH,North,353,2.9,4.9,4.7,7.9,1007,29.73,0,59.7 F (15.4 C),59.7,15.4,NA,NA,NA,NA,NA,NA,63.7 F (17.6 C),63.7,17.6,10.0,16.1,0,0.0,0.00 in (0.0 mm),0.00,0.0,0.43 in (11 mm),0.43,11,mostlycloudy,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif,http://www.wunderground.com/US/MA/Boston.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMABOSTO278,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.348248,-71.084167",
