image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 10:59:53 -0400",1499439593,"Fri, 07 Jul 2017 10:59:54 -0400",1499439594,EDT,America/New_York,-0400,Overcast,74.4 F (23.6 C),74.4,23.6,70%,From the NE at 1.0 MPH Gusting to 4.0 MPH,NE,44,1.0,4.0,1.6,6.4,1011,29.86,-,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,74.4 F (23.6 C),74.4,23.6,10.0,16.1,84,1.6,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 11:59:51 -0400",1499443191,"Fri, 07 Jul 2017 11:59:53 -0400",1499443193,EDT,America/New_York,-0400,Rain,70.5 F (21.4 C),70.5,21.4,84%,Calm,North,-9999,0.0,4.0,0,6.4,1011,29.86,0,65 F (19 C),65,19,NA,NA,NA,NA,NA,NA,70.5 F (21.4 C),70.5,21.4,3.0,4.8,125,2.2,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 12:59:44 -0400",1499446784,"Fri, 07 Jul 2017 12:59:53 -0400",1499446793,EDT,America/New_York,-0400,Rain,68.8 F (20.4 C),68.8,20.4,92%,From the NNE at 5.0 MPH Gusting to 8.0 MPH,NNE,21,5.0,8.0,8.0,12.9,1010,29.83,0,66 F (19 C),66,19,NA,NA,NA,NA,NA,NA,68.8 F (20.4 C),68.8,20.4,0.5,0.8,88,1.5,0.05 in ( 1 mm),0.05, 1,0.05 in (1 mm),0.05,1,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 13:59:52 -0400",1499450392,"Fri, 07 Jul 2017 13:59:54 -0400",1499450394,EDT,America/New_York,-0400,Rain,68.0 F (20.0 C),68.0,20.0,93%,From the NE at 3.0 MPH Gusting to 11.0 MPH,NE,51,3.0,11.0,4.8,17.7,1010,29.82,0,66 F (19 C),66,19,NA,NA,NA,NA,NA,NA,68.0 F (20.0 C),68.0,20.0,4.0,6.4,97,1.7,0.09 in ( 2 mm),0.09, 2,0.15 in (4 mm),0.15,4,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 14:59:50 -0400",1499453990,"Fri, 07 Jul 2017 14:59:53 -0400",1499453993,EDT,America/New_York,-0400,Rain,65.9 F (18.8 C),65.9,18.8,90%,From the NNE at 4.0 MPH Gusting to 9.0 MPH,NNE,19,4.0,9.0,6.4,14.5,1009,29.79,-,63 F (17 C),63,17,NA,NA,NA,NA,NA,NA,65.9 F (18.8 C),65.9,18.8,4.0,6.4,97,1.6,0.06 in ( 2 mm),0.06, 2,0.20 in (5 mm),0.20,5,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 15:59:48 -0400",1499457588,"Fri, 07 Jul 2017 15:59:55 -0400",1499457595,EDT,America/New_York,-0400,Rain,65.0 F (18.3 C),65.0,18.3,91%,From the East at 7.0 MPH Gusting to 11.0 MPH,East,82,7.0,11.0,11.3,17.7,1008,29.77,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,65.0 F (18.3 C),65.0,18.3,8.0,12.9,69,1.1,0.05 in ( 1 mm),0.05, 1,0.25 in (6 mm),0.25,6,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 16:59:52 -0400",1499461192,"Fri, 07 Jul 2017 16:59:55 -0400",1499461195,EDT,America/New_York,-0400,Rain,63.4 F (17.4 C),63.4,17.4,92%,From the North at 2.0 MPH Gusting to 13.0 MPH,North,10,2.0,13.0,3.2,20.9,1006,29.72,-,61 F (16 C),61,16,NA,NA,NA,NA,NA,NA,63.4 F (17.4 C),63.4,17.4,2.5,4.0,30,0.0,0.12 in ( 3 mm),0.12, 3,0.38 in (10 mm),0.38,10,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 17:59:51 -0400",1499464791,"Fri, 07 Jul 2017 17:59:53 -0400",1499464793,EDT,America/New_York,-0400,Overcast,64.7 F (18.2 C),64.7,18.2,92%,From the NW at 5.0 MPH Gusting to 9.0 MPH,NW,311,5.0,9.0,8.0,14.5,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,64.7 F (18.2 C),64.7,18.2,7.0,11.3,58,0.6,0.02 in ( 1 mm),0.02, 1,0.38 in (10 mm),0.38,10,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 18:59:40 -0400",1499468380,"Fri, 07 Jul 2017 18:59:53 -0400",1499468393,EDT,America/New_York,-0400,Overcast,64.8 F (18.2 C),64.8,18.2,92%,From the North at 6.0 MPH Gusting to 6.0 MPH,North,360,6.0,6.0,9.7,9.7,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,64.8 F (18.2 C),64.8,18.2,10.0,16.1,63,0.0,0.00 in ( 0 mm),0.00, 0,0.38 in (10 mm),0.38,10,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Cambridge, MA', 'city': 'Cambridge', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02139', 'magic': '1', 'wmo': '99999', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '4.9'}","{'full': 'Central Square, Cambridge, Massachusetts', 'city': 'Central Square, Cambridge', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.363300', 'longitude': '-71.107529', 'elevation': '24 ft'}",{},42.363300,-71.107529,"Fri, 07 Jul 2017 19:59:46 -0400",1499471986,"Fri, 07 Jul 2017 19:59:56 -0400",1499471996,EDT,America/New_York,-0400,Overcast,64.5 F (18.1 C),64.5,18.1,92%,From the NW at 1.0 MPH Gusting to 7.0 MPH,NW,325,1.0,7.0,1.6,11.3,1006,29.72,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,64.5 F (18.1 C),64.5,18.1,10.0,16.1,0,0.0,0.00 in ( 0 mm),0.00, 0,0.38 in (10 mm),0.38,10,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Cambridge.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMACAMBR4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.363300,-71.107529",
