image,display_location,observation_location,estimated,latitude,longitude,observation_time_rfc822,observation_epoch,local_time_rfc822,local_epoch,local_tz_short,local_tz_long,local_tz_offset,weather,temperature_string,temp_f,temp_c,relative_humidity,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,pressure_trend,dewpoint_string,dewpoint_f,dewpoint_c,heat_index_string,heat_index_f,heat_index_c,windchill_string,windchill_f,windchill_c,feelslike_string,feelslike_f,feelslike_c,visibility_mi,visibility_km,solarradiation,UV,precip_1hr_string,precip_1hr_in,precip_1hr_metric,precip_today_string,precip_today_in,precip_today_metric,icon,icon_url,forecast_url,history_url,ob_url,nowcast
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 10:59:55 -0400",1499439595,"Fri, 07 Jul 2017 10:59:57 -0400",1499439597,EDT,America/New_York,-0400,Overcast,73.7 F (23.2 C),73.7,23.2,77%,From the ESE at 5.0 MPH Gusting to 8.0 MPH,ESE,120,5.0,8.0,8.0,12.9,1011,29.86,-,66 F (19 C),66,19,NA,NA,NA,NA,NA,NA,73.7 F (23.2 C),73.7,23.2,10.0,16.1,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 11:59:40 -0400",1499443180,"Fri, 07 Jul 2017 11:59:54 -0400",1499443194,EDT,America/New_York,-0400,Rain,72.1 F (22.3 C),72.1,22.3,85%,From the ESE at 5.0 MPH Gusting to 11.0 MPH,ESE,120,5.0,11.0,8.0,17.7,1011,29.86,0,67 F (20 C),67,20,NA,NA,NA,NA,NA,NA,72.1 F (22.3 C),72.1,22.3,3.0,4.8,--,3,0.00 in ( 0 mm),0.00, 0,0.00 in (0 mm),0.00,0,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 12:59:51 -0400",1499446791,"Fri, 07 Jul 2017 12:59:54 -0400",1499446794,EDT,America/New_York,-0400,Rain,69.7 F (20.9 C),69.7,20.9,91%,From the NNE at 3.0 MPH Gusting to 9.0 MPH,NNE,28,3.0,9.0,4.8,14.5,1010,29.83,0,67 F (19 C),67,19,NA,NA,NA,NA,NA,NA,69.7 F (20.9 C),69.7,20.9,0.5,0.8,--,4,0.05 in ( 1 mm),0.05, 1,0.02 in (1 mm),0.02,1,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 13:59:35 -0400",1499450375,"Fri, 07 Jul 2017 13:59:55 -0400",1499450395,EDT,America/New_York,-0400,Rain,69.0 F (20.6 C),69.0,20.6,95%,From the NNE at 3.0 MPH Gusting to 10.0 MPH,NNE,28,3.0,10.0,4.8,16.1,1010,29.82,0,68 F (20 C),68,20,NA,NA,NA,NA,NA,NA,69.0 F (20.6 C),69.0,20.6,4.0,6.4,--,3,0.12 in ( 3 mm),0.12, 3,0.15 in (4 mm),0.15,4,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 14:59:53 -0400",1499453993,"Fri, 07 Jul 2017 14:59:55 -0400",1499453995,EDT,America/New_York,-0400,Rain,67.1 F (19.5 C),67.1,19.5,95%,From the NNE at 4.0 MPH Gusting to 10.0 MPH,NNE,28,4.0,10.0,6.4,16.1,1009,29.79,-,66 F (19 C),66,19,NA,NA,NA,NA,NA,NA,67.1 F (19.5 C),67.1,19.5,4.0,6.4,--,3,0.00 in ( 0 mm),0.00, 0,0.20 in (5 mm),0.20,5,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 15:59:42 -0400",1499457582,"Fri, 07 Jul 2017 15:59:58 -0400",1499457598,EDT,America/New_York,-0400,Rain,65.7 F (18.7 C),65.7,18.7,96%,From the NE at 2.0 MPH Gusting to 12.0 MPH,NE,34,2.0,12.0,3.2,19.3,1008,29.77,-,64 F (18 C),64,18,NA,NA,NA,NA,NA,NA,65.7 F (18.7 C),65.7,18.7,8.0,12.9,--,2,0.32 in ( 8 mm),0.32, 8,0.30 in (8 mm),0.30,8,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 16:59:49 -0400",1499461189,"Fri, 07 Jul 2017 16:59:57 -0400",1499461197,EDT,America/New_York,-0400,Rain,63.7 F (17.6 C),63.7,17.6,96%,From the NE at 3.0 MPH Gusting to 4.0 MPH,NE,34,3.0,4.0,4.8,6.4,1006,29.72,-,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.7 F (17.6 C),63.7,17.6,2.5,4.0,--,1,0.13 in ( 3 mm),0.13, 3,0.45 in (11 mm),0.45,11,rain,http://icons.wxug.com/i/c/k/rain.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 17:59:53 -0400",1499464793,"Fri, 07 Jul 2017 17:59:57 -0400",1499464797,EDT,America/New_York,-0400,Overcast,63.8 F (17.7 C),63.8,17.7,97%,From the NNE at 4.0 MPH Gusting to 12.0 MPH,NNE,28,4.0,12.0,6.4,19.3,1006,29.72,-,63 F (17 C),63,17,NA,NA,NA,NA,NA,NA,63.8 F (17.7 C),63.8,17.7,7.0,11.3,--,1,0.00 in ( 0 mm),0.00, 0,0.46 in (12 mm),0.46,12,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 18:59:52 -0400",1499468392,"Fri, 07 Jul 2017 18:59:54 -0400",1499468394,EDT,America/New_York,-0400,Overcast,63.8 F (17.7 C),63.8,17.7,97%,From the NE at 2.0 MPH Gusting to 9.0 MPH,NE,49,2.0,9.0,3.2,14.5,1006,29.72,-,63 F (17 C),63,17,NA,NA,NA,NA,NA,NA,63.8 F (17.7 C),63.8,17.7,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.46 in (12 mm),0.46,12,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
"{'url': 'http://icons.wxug.com/graphics/wu2/logo_130x80.png', 'title': 'Weather Underground', 'link': 'http://www.wunderground.com'}","{'full': 'Medford, MA', 'city': 'Medford', 'state': 'MA', 'state_name': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'zip': '02155', 'magic': '1', 'wmo': '99999', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '27.1'}","{'full': 'Emerson St. Across from Police Station, Medford, Massachusetts', 'city': 'Emerson St. Across from Police Station, Medford', 'state': 'Massachusetts', 'country': 'US', 'country_iso3166': 'US', 'latitude': '42.415516', 'longitude': '-71.111511', 'elevation': '12 ft'}",{},42.415516,-71.111511,"Fri, 07 Jul 2017 19:59:56 -0400",1499471996,"Fri, 07 Jul 2017 20:00:00 -0400",1499472000,EDT,America/New_York,-0400,Overcast,63.4 F (17.4 C),63.4,17.4,97%,From the NE at 3.0 MPH Gusting to 7.0 MPH,NE,46,3.0,7.0,4.8,11.3,1006,29.72,0,62 F (17 C),62,17,NA,NA,NA,NA,NA,NA,63.4 F (17.4 C),63.4,17.4,10.0,16.1,--,0,0.00 in ( 0 mm),0.00, 0,0.46 in (12 mm),0.46,12,cloudy,http://icons.wxug.com/i/c/k/cloudy.gif,http://www.wunderground.com/US/MA/Medford.html,http://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KMAMEDFO4,"http://www.wunderground.com/cgi-bin/findweather/getForecast?query=42.415516,-71.111511",
